row_id,text,pramana_label,_source,essay_id,topic_group
blind_7ee12d607d,we should not end racial profiling since it is still useful and of course most blacks commit all the crimes.,Anumana,ibm,,We should end racial profiling
blind_ec3a77a0b6,more people believe in god than don't so adopting atheism is not in line with what a majority of people believe.,Anumana,ibm,,We should adopt atheism
blind_abaaeb0e6e,we should not ban human cloning because the potential scientists can find a cure for a disease,Shabda,ibm,,We should ban human cloning
blind_1895467e52,"these situations need to be handled on a case by case basis because many times, the culprit is not really a threat.",Anumana,ibm,,We should adopt a zero-tolerance policy in schools
blind_c99fa25725,urbanization leads to deforestation and increased levels of pollution as well as concentration of waste and garbage.,Anumana,ibm,,We should fight urbanization
blind_f0ba268c66,"Driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so",Anumana,aaec,essay318,
blind_9542ceff25,"students only need to study academic subjects like mathematics, physics",Upamana,aaec,essay349,
blind_d102c20521,Social media platforms should not be regulated by the government because crimes can't be committed on the internet,Shabda,ibm,,Social media platforms should be regulated by the government
blind_b5b5cd203b,"space exploration is an expenditure so esoteric, it does not justify its hefty cost to the public.",Anumana,ibm,,We should subsidize space exploration
blind_0bce896223,"They should not have any type of control in social networks, everyone is free to express what they want.",Anumana,ibm,,Social media platforms should be regulated by the government
blind_f69d4eca0a,the importance of the education of our professionals must be taken into consideration in our society,Anumana,ibm,,We should subsidize vocational education
blind_aa7ce884bd,women are physically weaker than men so it does not make sense to allow women in combat.,Anumana,ibm,,We should prohibit women in combat
blind_f4c9c86a98,"racial profiling distracts police from using actual evidence to catch criminals, as they are focused on skin color instead",Pratyaksha,ibm,,We should end racial profiling
blind_ba422ddfe0,we should subsidize student loans because it gives students with low income to get the education they deserve,Anumana,ibm,,We should subsidize student loans
blind_13ccafb339,taxes shouldn't have to pay for criminals to live comfortably after they've committed horrific crimes.,Anumana,ibm,,We should abolish capital punishment
blind_24e2bc96c7,"Just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well",Upamana,aaec,essay254,
blind_4f9fd4c04f,cosmetic surgery should be banned because it is really not a necessary type of surgery.,Anumana,ibm,,We should ban cosmetic surgery
blind_a662c48a84,three strikes laws lack nuance and fail to evaluate circumstances around crimes committed.,Anumana,ibm,,We should abolish the three-strikes laws
blind_8881c1a1d1,It was fun and a little bit similar to the cinema,Upamana,aaec,essay228,
blind_c5c05a0816,for a teenager it is important to pay attention on their studies,Anumana,aaec,essay189,
blind_f160ef01c5,there should not be any room for partiality in terms of gender while allocating seats for students in every university courses,Anumana,aaec,essay140,
blind_30bc2597c5,"even when people watch television together, there is no chance for them to have conversation in front of television",Anumana,aaec,essay244,
blind_5cdca4fea4,we should abolish the right to keep and bear arms as it could endanger innocent people and maybe end up in the wrong hands,Anumana,ibm,,We should abolish the right to keep and bear arms
blind_0fa3a4a94f,nuclear weapons help to insure that other countries will not attach because they in turn will most certainly be destroyed.,Anumana,ibm,,We should fight for the abolition of nuclear weapons
blind_f9983d31ff,tourism can have a negative impact on the natural environment,Anumana,aaec,essay356,
blind_75bf5b98c6,"some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc",Upamana,aaec,essay062,
blind_9dc561a072,Emergence of new television channels or shows are not surprising,Anumana,aaec,essay017,
blind_f68cb3443b,i think the vow of celibacy should abandoned because the group of millenials and beyond is never going to follow it.,Anumana,ibm,,The vow of celibacy should be abandoned
blind_87326be519,"high-quality journalism requires time, expertise, and research. all of this requires money.",Shabda,ibm,,We should subsidize journalism
blind_0970b124fa,"too many people depend on the ""poor me"" card to get ahead. if you want something, work hard for it.",Anumana,ibm,,We should end affirmative action
blind_b5104114b7,we should continue to support homeschooling as it gives children another form of education when other forms do not work.,Anumana,ibm,,Homeschooling should be banned
blind_2ab84b189c,flag burning is a legitimate way of showing outrage at a countries actions and iss therefore a form of free speach,Anumana,ibm,,We should prohibit flag burning
blind_56b8bd7525,we should not abolish the right because it would leave us vulnerable to personal attacks,Anumana,ibm,,We should abolish the right to keep and bear arms
blind_46160e16a5,"The more people in the country become educated, the better chance it can develop",Anumana,aaec,essay389,
blind_64e5f672aa,space exploration costs too much money that could be spent on better thing such as helping the poor in society.,Anumana,ibm,,We should subsidize space exploration
blind_9967cf87e5,subsidizing vocational education will improve economy growth and will make people more successful.,Anumana,ibm,,We should subsidize vocational education
blind_467b0f2cfc,"As we destroy the natural habitat, like forests, jungles and lakes, to make place for our industry and farmland, we rob the ecosystem",Upamana,aaec,essay304,
blind_743e144c78,"There are many advantages setting up the university such as more opportunities to people in the community to pursue their studies, creation of jobs",Anumana,aaec,essay181,
blind_944533dea6,"many people driving private cars could cause air pollution, and overusing plastic packages would affect the environment",Anumana,aaec,essay392,
blind_9491c03f3a,"Marijuana is part of drug culture so using it leads to other, much more dangerous drug use.",Anumana,ibm,,We should legalize cannabis
blind_3df531212d,compulsory voting will cause more people feel like the government has too much power and the country will feel less free,Upamana,ibm,,We should introduce compulsory voting
blind_5383d3697c,legalizing prostitution will legitimize it as a profession and allow workers to unionize and collect benefits,Anumana,ibm,,We should legalize prostitution
blind_f8def092a9,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,Anumana,ibm,,Assisted suicide should be a criminal offence
blind_e3c2030d2b,marriage in an obsolete institution that legally entangles people and does not let them free without incuring costs.,Anumana,ibm,,We should abandon marriage
blind_1381cf0be8,people should be able to select the sex of the children so that they can balance their family the way they wish it to be.,Anumana,ibm,,We should legalize sex selection
blind_96e2d74549,"if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering",Anumana,ibm,,Assisted suicide should be a criminal offence
blind_78f35c419b,Libertarianism would lead to the destruction of the environment because there would be no regulation protecting it.,Anumana,ibm,,We should adopt libertarianism
blind_08207b75cd,We should not legalize cannabis as it has been proven to have long term mental health and concentration issues.,Pratyaksha,ibm,,We should legalize cannabis
blind_d45f43dd13,Social media platforms should be regulated by the government to prevent criminals from affecting people minds.,Shabda,ibm,,Social media platforms should be regulated by the government
blind_fba821320f,foster care gets kids out of dangerous situations and into the homes of people who can better care for them.,Anumana,ibm,,Foster care brings more harm than good
blind_850ad3e754,Most of the foods they eat are fat foods like chips or pizzas,Upamana,aaec,essay237,
blind_8c96669911,"The social media platform must be regulated by the government, to prevent hateful content, violence among others",Shabda,ibm,,Social media platforms should be regulated by the government
blind_7d2c4cbdac,We should not abandon marriage as people still believe in the sanctity of the marriage vow and wish to declare their unity.,Anumana,ibm,,We should abandon marriage
blind_6bdc278378,"prisoners are being tortured and held without being given a fair trial, which is inhumane.",Anumana,ibm,,We should close Guantanamo Bay detention camp
blind_7e7acd7330,"in era technology like this age, computer becomes important thing in human life",Upamana,aaec,essay133,
blind_f1ccbc811b,tricking someone into committing a crime that they wouldn't do otherwise is not right.,Anumana,ibm,,Entrapment should be legalized
blind_9e7c0279fd,"If you spend your spare time at home or something like that, you can't enjoy beautiful nature",Upamana,aaec,essay161,
blind_c62b221e05,Women are just as capable as men in modern warfare so we would lose half of our available fighters by not allowing them.,Upamana,ibm,,We should prohibit women in combat
blind_13a5d3c1b2,"even if you are right, criticism is still helpful",Anumana,aaec,essay251,
blind_ba9a1784d9,teenagers need more attention and help in comparison with the higher ages,Upamana,aaec,essay123,
blind_78e0dbac4c,To generate such a vast energy the fundamental resources are falling short,Anumana,aaec,essay044,
blind_b49a77f52e,the vow of celibacy is not necessary in this day and age as it is more widely accepted.,Anumana,ibm,,The vow of celibacy should be abandoned
blind_ffd70b0234,We need to know and learn about the theoritical basis of our future job,Anumana,aaec,essay265,
blind_6ea37947e6,austerity regimes may save a few bucks for the government but always at the expense of regular and vulnerable citizens.,Shabda,ibm,,We should adopt an austerity regime
blind_233edb3ad2,I do really prefer to improve my ability of relating people and make more friends rather than studying hard in school,Anumana,aaec,essay269,
blind_aac02d42e5,better journalism is needed to keep our governments in check and the general population in the know,Shabda,ibm,,We should subsidize journalism
blind_b4a1ea4d58,Another person might be able to make a concept work far better than the original person who thought up the idea.,Anumana,ibm,,We should abolish intellectual property rights
blind_d0d56b682e,the university should allow the student to participate in the classed without passing the test,Anumana,aaec,essay311,
blind_a7dade4142,Social media platforms ought to be regulated by the government to stop the crimes of blackmailing.,Shabda,ibm,,Social media platforms should be regulated by the government
blind_fabed991e3,"if people can afford it, they should be able to pick which attorney they want to defend them.",Anumana,ibm,,The use of public defenders should be mandatory
blind_c6aa768f85,traditional education has some merits like feedbacks and inspirations that cannot be replaced in the near future,Upamana,aaec,essay138,
blind_572bf8ac0d,homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom.,Anumana,ibm,,Homeschooling should be banned
blind_07e565c445,people should be free to do as they choose without government intervention therefore we should adopt libertarianism.,Shabda,ibm,,We should adopt libertarianism
blind_939c8c11af,private military companies receive government funds without sufficient government oversight.,Shabda,ibm,,We should ban private military companies
blind_fa2a57eec3,"living in democracy, every persona has a choice to to whatever they wants in their privacy and flag burning is one of it.",Anumana,ibm,,We should prohibit flag burning
blind_cf59dde58b,we should ban algorithmic trading because it gives a select few an unfair advantage over others.,Anumana,ibm,,We should ban algorithmic trading
blind_b9dd393e25,WE SHOuld ban human cloning because it causes huge issues in terms of rights and ownership,Anumana,ibm,,We should ban human cloning
blind_7e54c90830,"capital punishment has already led to innocent people being put to death, we should not allow this to happen.",Anumana,ibm,,We should abolish capital punishment
blind_b9542fd093,"After classes students and not only the students will get together in building of high school, participate in different competitions",Anumana,aaec,essay122,
blind_e258c5b4b8,the advantages of this are qualitatively greater than that of the opposite,Anumana,aaec,essay129,
blind_fc09698b92,we should abolish intellectual property rights because it will make a fairer playing field,Anumana,ibm,,We should abolish intellectual property rights
blind_55dd1513a0,"We definitely do not want our children to spend money on luxurious custom or lifestyle just to be similar to someone, especially when these people are not symbols of any talent but showing off",Upamana,aaec,essay390,
blind_190915ad3f,large emissions of carbon monoxide gas from refrigerants like air conditioners have depleted ozone layer,Upamana,aaec,essay107,
blind_c27a653553,There is ample evidence showing that capital punishment does not constitute effective deterrence.,Pratyaksha,ibm,,We should abolish capital punishment
blind_42053d04a6,"exchange of knowledge in different sectors of research like electronics, medical, astronomy etc would become easier",Upamana,aaec,essay151,
blind_5876f0e872,people should be free to follow their own faith and it should not be a government decision.,Shabda,ibm,,We should adopt atheism
blind_59a2e4becf,entrapment can be a useful tool in proving that someone is guilty of a crime when traditional methods have failed.,Anumana,ibm,,Entrapment should be legalized
blind_31f236f408,"journalism is a dying profession that is increasingly corrupt, so why use tax money towards it?",Shabda,ibm,,We should subsidize journalism
blind_70c2fe7420,women are just as capable of combat as men are and not allowing them in a combat situation is sex discrimination.,Upamana,ibm,,We should prohibit women in combat
blind_95b7e4b12e,we should fight for the abolition of nuclear weapons for the peace and envelope of people,Anumana,ibm,,We should fight for the abolition of nuclear weapons
blind_d7e18863e5,"To put it differently, is that after this person has quit his job and became unemployed, he can no longer pay his bills nor buy what he needs for his everyday needs",Anumana,aaec,essay246,
blind_4356dd0c88,"if a gradate stays in the city after leaving his college and seeks a job with good salary instead of returning his village to do farm work, he could perhaps buy a house or his own car after a short time",Anumana,aaec,essay207,
blind_7919a574c7,many university authorities provide music lessons for their students,Anumana,aaec,essay050,
blind_3508f7de6f,it is a constitutional right to keep and bear arms for self protection and to participate in firearm sports,Shabda,ibm,,We should abolish the right to keep and bear arms
blind_e4c802776b,students who are suspended will loose out on classes and might fail exams or even drop out of school as a result.,Anumana,ibm,,We should adopt a zero-tolerance policy in schools
blind_183302cc5a,We should abandon marriage as with divorce rates so high it is clear that is has become an outmoded concept.,Anumana,ibm,,We should abandon marriage
blind_84402912c7,"many children in foster care are not adequately supervised by social services, and thus are often mistreated.",Anumana,ibm,,Foster care brings more harm than good
blind_44321a1d4a,Discovery Channel has many instructive episodes,Anumana,aaec,essay014,
blind_cea218a4c1,human cloning gives the chance for individuals to have a child that might not otherwise be able to,Anumana,ibm,,We should ban human cloning
blind_a52d5520be,gun violence is constantly on the rise with many innocent people loosing their lives every day.,Anumana,ibm,,We should abolish the right to keep and bear arms
blind_2d9e05834a,"Unlike a professional, parents always support children and give them much social skill so they can communicate well with others and have good habit in life",Upamana,aaec,essay222,
blind_959c3f109e,A well-informed man can act sensibly and make sound judgment,Anumana,aaec,essay389,
blind_90da0eefd2,"burning a flag is a form of free speech, therefore it forms a constitutional right and should not be banned.",Shabda,ibm,,We should prohibit flag burning
blind_1d15ec99ca,we should not subsidize student loans because it was a personal decision and responsibility to accept the loan,Anumana,ibm,,We should subsidize student loans
blind_8401d5c8f7,Celibacy puts undue pressure on priests and leads to secret homosexuality and pedophilia and should be stopped.,Anumana,ibm,,The vow of celibacy should be abandoned
blind_5acb82b86c,"Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation",Upamana,aaec,essay053,
blind_4ed7aa787b,subsidized loans help students get an education and without them they might not be able to go to school,Anumana,ibm,,We should subsidize student loans
blind_10a86922fb,Having knowledge about other countries and their languages lead to extend the child's vision,Anumana,aaec,essay327,
blind_5663c0c40a,it houses some of the most dangerous people and those people should be as far from society as possible.,Anumana,ibm,,We should close Guantanamo Bay detention camp
blind_098e9d66ee,cosmetic surgery is needed for reconstructive surgery and is a necessary part of the process.,Anumana,ibm,,We should ban cosmetic surgery
blind_44384ee82c,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,Shabda,aaec,essay077,
blind_e76f6ff88f,subsidizing student loans will just add to our massive debt which is the last thing america needs at the moment.,Anumana,ibm,,We should subsidize student loans
blind_2edeebfc21,people have a right to defend themselves by keeping arms and using them when necessary,Anumana,ibm,,We should abolish the right to keep and bear arms
blind_595b9fa1df,atheism should not be adopted because a world without a god is a world headed for destruction,Anumana,ibm,,We should adopt atheism
blind_9554bce40b,cannabis is no worse than alcohol and should be legal to every adult american citizen.,Anumana,ibm,,We should legalize cannabis
blind_ce11820f9b,everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.,Anumana,ibm,,We should ban cosmetic surgery
blind_c5dd21b159,"cannabis has been proven to alleviate pain, hep with insomnia and decrease stress in a natural method.",Pratyaksha,ibm,,We should legalize cannabis
blind_c969246097,There are the build-up of the concept about healthy eating habits and self-control that really matter,Anumana,aaec,essay266,
blind_8ab1caa55b,three strikes laws make people less likely to be repeat offenders due to harsher punishments.,Anumana,ibm,,We should abolish the three-strikes laws
blind_cbd4f6cf48,it doesn`t have free healthcare and it has a lot of shootings and racist systems in place.,Anumana,ibm,,The USA is a good country to live in
blind_6882706c38,we should abolish intellectual property rights so that everyone can share property which increases harmony in society,Anumana,ibm,,We should abolish intellectual property rights
blind_5a9ab1f6a5,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",Upamana,aaec,essay002,
blind_388a645808,people who know a wide range of is better than people who know just one,Anumana,aaec,essay280,
blind_2b5fd457c0,journalism provides information and news so that we can know what is going on outside of our immediate area,Shabda,ibm,,We should subsidize journalism
blind_ee683b37ea,If you think of something first you don't want another person stealing that idea and profiting out of it.,Anumana,ibm,,We should abolish intellectual property rights
blind_e602e89dfc,"when people have jobs, they will have money to spend on goods and services",Anumana,aaec,essay181,
blind_614bc248de,choosing the job that is similar to parents' jobs could benefit to one's career,Upamana,aaec,essay248,
blind_5f5dd139fa,prostitution should be legalied so women can work in safe spaces rather than be at risk working on the streets,Anumana,ibm,,We should legalize prostitution
blind_b249124f95,the classmates should be regarded as the most important influence on individual achievements,Anumana,aaec,essay386,
blind_a698470273,entrapment should be legalized because it is arbitrary to ban this one type of evidence.,Pratyaksha,ibm,,Entrapment should be legalized
blind_215f5bb91a,CCTV cameras are essential and therefore must be installed in every premise,Anumana,aaec,essay085,
blind_2c66b5df54,libertarianism is crucial to protect the individual rights and ideals of people of a state.,Anumana,ibm,,We should adopt libertarianism
blind_448b3d6418,this type of surgery has risks associated with it just like other ones except this one is not needed,Upamana,ibm,,We should ban cosmetic surgery
blind_2c8ea009da,we should adopt atheism because you can live your life freely without the worry of being judged by god,Anumana,ibm,,We should adopt atheism
blind_e29e41f449,This is especially true in sectors like entertainment and sports,Upamana,aaec,essay100,
blind_94c45b384a,even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists,Upamana,aaec,essay152,
blind_b1f261a9b1,we should subsidize vocational education because it helps people gain knowledge for things they are passionate about,Anumana,ibm,,We should subsidize vocational education
blind_bc0f740482,foster care just passes children around like they are a burden instead of finding a home for them.,Anumana,ibm,,Foster care brings more harm than good
blind_9c94633907,Every technology has it’s good and bad effects but I prefer having the technologies with their disadvantages to living like 16 century without any of modern facilities of technology,Upamana,aaec,essay273,
blind_b059f487d4,"foster parents can take advantage of children, and sometimes they volunteer just to get a paycheck.",Anumana,ibm,,Foster care brings more harm than good
blind_b4618cf03f,"if the university take the policy that no one can attend the classes without passing exam, students are highly likely to leave uncultivated",Anumana,aaec,essay311,
blind_90bddba4fc,"there are Reality TV, television programs in which people are put into artificial environments and situations, for example like ""Big Brother""",Upamana,aaec,essay307,
blind_bdcf8d6535,university is not just about academic studies but also a place to nurture artistic talent and develop soft skills,Anumana,aaec,essay209,
blind_6c326dbae5,an austerity regime is bad: the government needs to keep its programs and the people need to keep their money.,Shabda,ibm,,We should adopt an austerity regime
blind_7aeb8639eb,prohibiting women in combat is sexist. women are just as capable of men in combat with proper training.,Upamana,ibm,,We should prohibit women in combat
blind_9a7ac302aa,we need to adopt an austerity regime so the government stops over spending on unnecessary things,Shabda,ibm,,We should adopt an austerity regime
blind_730b17553a,"there are enough rules and policies in place to protect child actors, making it a safe profession",Anumana,ibm,,We should ban the use of child actors
blind_4d8a0e8eee,private military companies are risky businesses that can backfire against government's military forces,Shabda,ibm,,We should ban private military companies
blind_37780e44d3,guantanamo bay is simply a place for the united states to torture prisoners without having to answer to the law.,Anumana,ibm,,We should close Guantanamo Bay detention camp
blind_448e91c04b,indispensable public services like hospital and school worth every penny investing,Upamana,aaec,essay396,
blind_bc7e845621,"space exploration can provide valuable scientific information, and should be subsidized to ensure its continuation",Anumana,ibm,,We should subsidize space exploration
blind_7018f653ae,Modern technogy has impacted the traditional cultures in both negative and positive ways,Anumana,aaec,essay397,
blind_922fcdace2,USA is the American dream for being the world power where all technologies are at their cusp equal their opportunities,Anumana,ibm,,The USA is a good country to live in
blind_48798f42f5,high sales are obviously a reflection of the powerful advertisements,Anumana,aaec,essay021,
blind_6f11313d62,journalism should not be subsidized because subsidies could too easily be allotted according to political beliefs.,Shabda,ibm,,We should subsidize journalism
blind_50f7ae6bb7,urbanization allows populations easier access to food and services that improve quality of life.,Anumana,ibm,,We should fight urbanization
blind_c6d4fbfe83,we should not adopt libertarianism because we need the government to help with things like roads and other infrastructure,Shabda,ibm,,We should adopt libertarianism
blind_6658a3a07c,"if it were not mandatory to vaccinate our children, we would cease to exist rapidly ...",Anumana,ibm,,Routine child vaccinations should be mandatory
blind_7cd8781adc,"by enacting an austerity regime, we can improve the long-term health of the economy by reducing the national debt.",Anumana,ibm,,We should adopt an austerity regime
blind_dea0588524,How can the comtemporary scientists study the earth's gravity without the apple which fall on Newton's head,Anumana,aaec,essay226,
blind_3fbe1de482,we should not subsidize vocational education the same way we should not subsidize higher education for everybody.,Anumana,ibm,,We should subsidize vocational education
blind_a1d456b5d7,people tend to follow the trend back to the tradition in the recent years,Anumana,aaec,essay066,
blind_ead36dd0d0,the demerits of applying these new developments in the agriculture industry cannot be overlooked,Anumana,aaec,essay115,
blind_3100dfe03a,freedom of expression extends to the right to choose one's own clothing and a school uniform prevents this choice.,Anumana,ibm,,We should abandon the use of school uniform
blind_4e0ac45c79,"flag burning qualifies as the right to protest, which is a right upheld by the constitution.",Shabda,ibm,,We should prohibit flag burning
blind_0ed36138bc,atheism can lead to amoral behavior as there is no code of ethics or religious guidance to live by,Anumana,ibm,,We should adopt atheism
