row_id,source,text,annotator_label,secondary_label,confidence_1_5,annotation_notes
blind_87326be519,ibm,"high-quality journalism requires time, expertise, and research. all of this requires money.",,,,
blind_0970b124fa,ibm,"too many people depend on the ""poor me"" card to get ahead. if you want something, work hard for it.",,,,
blind_b5104114b7,ibm,we should continue to support homeschooling as it gives children another form of education when other forms do not work.,,,,
blind_2ab84b189c,ibm,flag burning is a legitimate way of showing outrage at a countries actions and iss therefore a form of free speach,,,,
blind_56b8bd7525,ibm,we should not abolish the right because it would leave us vulnerable to personal attacks,,,,
blind_46160e16a5,aaec,"The more people in the country become educated, the better chance it can develop",,,,
blind_64e5f672aa,ibm,space exploration costs too much money that could be spent on better thing such as helping the poor in society.,,,,
blind_9967cf87e5,ibm,subsidizing vocational education will improve economy growth and will make people more successful.,,,,
blind_467b0f2cfc,aaec,"As we destroy the natural habitat, like forests, jungles and lakes, to make place for our industry and farmland, we rob the ecosystem",,,,
blind_743e144c78,aaec,"There are many advantages setting up the university such as more opportunities to people in the community to pursue their studies, creation of jobs",,,,
blind_944533dea6,aaec,"many people driving private cars could cause air pollution, and overusing plastic packages would affect the environment",,,,
blind_9491c03f3a,ibm,"Marijuana is part of drug culture so using it leads to other, much more dangerous drug use.",,,,
blind_3df531212d,ibm,compulsory voting will cause more people feel like the government has too much power and the country will feel less free,,,,
blind_5383d3697c,ibm,legalizing prostitution will legitimize it as a profession and allow workers to unionize and collect benefits,,,,
blind_f8def092a9,ibm,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,,,,
blind_e3c2030d2b,ibm,marriage in an obsolete institution that legally entangles people and does not let them free without incuring costs.,,,,
blind_1381cf0be8,ibm,people should be able to select the sex of the children so that they can balance their family the way they wish it to be.,,,,
blind_96e2d74549,ibm,"if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering",,,,
blind_78f35c419b,ibm,Libertarianism would lead to the destruction of the environment because there would be no regulation protecting it.,,,,
blind_08207b75cd,ibm,We should not legalize cannabis as it has been proven to have long term mental health and concentration issues.,,,,
blind_d45f43dd13,ibm,Social media platforms should be regulated by the government to prevent criminals from affecting people minds.,,,,
blind_fba821320f,ibm,foster care gets kids out of dangerous situations and into the homes of people who can better care for them.,,,,
blind_850ad3e754,aaec,Most of the foods they eat are fat foods like chips or pizzas,,,,
blind_8c96669911,ibm,"The social media platform must be regulated by the government, to prevent hateful content, violence among others",,,,
blind_7d2c4cbdac,ibm,We should not abandon marriage as people still believe in the sanctity of the marriage vow and wish to declare their unity.,,,,
blind_6bdc278378,ibm,"prisoners are being tortured and held without being given a fair trial, which is inhumane.",,,,
blind_7e7acd7330,aaec,"in era technology like this age, computer becomes important thing in human life",,,,
blind_f1ccbc811b,ibm,tricking someone into committing a crime that they wouldn't do otherwise is not right.,,,,
blind_9e7c0279fd,aaec,"If you spend your spare time at home or something like that, you can't enjoy beautiful nature",,,,
blind_c62b221e05,ibm,Women are just as capable as men in modern warfare so we would lose half of our available fighters by not allowing them.,,,,
blind_13a5d3c1b2,aaec,"even if you are right, criticism is still helpful",,,,
blind_ba9a1784d9,aaec,teenagers need more attention and help in comparison with the higher ages,,,,
blind_78e0dbac4c,aaec,To generate such a vast energy the fundamental resources are falling short,,,,
blind_b49a77f52e,ibm,the vow of celibacy is not necessary in this day and age as it is more widely accepted.,,,,
blind_ffd70b0234,aaec,We need to know and learn about the theoritical basis of our future job,,,,
blind_6ea37947e6,ibm,austerity regimes may save a few bucks for the government but always at the expense of regular and vulnerable citizens.,,,,
blind_233edb3ad2,aaec,I do really prefer to improve my ability of relating people and make more friends rather than studying hard in school,,,,
blind_aac02d42e5,ibm,better journalism is needed to keep our governments in check and the general population in the know,,,,
blind_b4a1ea4d58,ibm,Another person might be able to make a concept work far better than the original person who thought up the idea.,,,,
blind_d0d56b682e,aaec,the university should allow the student to participate in the classed without passing the test,,,,
blind_a7dade4142,ibm,Social media platforms ought to be regulated by the government to stop the crimes of blackmailing.,,,,
blind_fabed991e3,ibm,"if people can afford it, they should be able to pick which attorney they want to defend them.",,,,
blind_c6aa768f85,aaec,traditional education has some merits like feedbacks and inspirations that cannot be replaced in the near future,,,,
blind_572bf8ac0d,ibm,homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom.,,,,
blind_07e565c445,ibm,people should be free to do as they choose without government intervention therefore we should adopt libertarianism.,,,,
blind_939c8c11af,ibm,private military companies receive government funds without sufficient government oversight.,,,,
blind_fa2a57eec3,ibm,"living in democracy, every persona has a choice to to whatever they wants in their privacy and flag burning is one of it.",,,,
blind_cf59dde58b,ibm,we should ban algorithmic trading because it gives a select few an unfair advantage over others.,,,,
blind_b9dd393e25,ibm,WE SHOuld ban human cloning because it causes huge issues in terms of rights and ownership,,,,
blind_7e54c90830,ibm,"capital punishment has already led to innocent people being put to death, we should not allow this to happen.",,,,
blind_b9542fd093,aaec,"After classes students and not only the students will get together in building of high school, participate in different competitions",,,,
blind_e258c5b4b8,aaec,the advantages of this are qualitatively greater than that of the opposite,,,,
blind_fc09698b92,ibm,we should abolish intellectual property rights because it will make a fairer playing field,,,,
blind_55dd1513a0,aaec,"We definitely do not want our children to spend money on luxurious custom or lifestyle just to be similar to someone, especially when these people are not symbols of any talent but showing off",,,,
blind_190915ad3f,aaec,large emissions of carbon monoxide gas from refrigerants like air conditioners have depleted ozone layer,,,,
blind_c27a653553,ibm,There is ample evidence showing that capital punishment does not constitute effective deterrence.,,,,
blind_42053d04a6,aaec,"exchange of knowledge in different sectors of research like electronics, medical, astronomy etc would become easier",,,,
blind_5876f0e872,ibm,people should be free to follow their own faith and it should not be a government decision.,,,,
blind_59a2e4becf,ibm,entrapment can be a useful tool in proving that someone is guilty of a crime when traditional methods have failed.,,,,
blind_31f236f408,ibm,"journalism is a dying profession that is increasingly corrupt, so why use tax money towards it?",,,,
blind_70c2fe7420,ibm,women are just as capable of combat as men are and not allowing them in a combat situation is sex discrimination.,,,,
blind_95b7e4b12e,ibm,we should fight for the abolition of nuclear weapons for the peace and envelope of people,,,,
blind_d7e18863e5,aaec,"To put it differently, is that after this person has quit his job and became unemployed, he can no longer pay his bills nor buy what he needs for his everyday needs",,,,
blind_4356dd0c88,aaec,"if a gradate stays in the city after leaving his college and seeks a job with good salary instead of returning his village to do farm work, he could perhaps buy a house or his own car after a short time",,,,
blind_7919a574c7,aaec,many university authorities provide music lessons for their students,,,,
blind_3508f7de6f,ibm,it is a constitutional right to keep and bear arms for self protection and to participate in firearm sports,,,,
blind_e4c802776b,ibm,students who are suspended will loose out on classes and might fail exams or even drop out of school as a result.,,,,
blind_183302cc5a,ibm,We should abandon marriage as with divorce rates so high it is clear that is has become an outmoded concept.,,,,
blind_84402912c7,ibm,"many children in foster care are not adequately supervised by social services, and thus are often mistreated.",,,,
blind_44321a1d4a,aaec,Discovery Channel has many instructive episodes,,,,
blind_cea218a4c1,ibm,human cloning gives the chance for individuals to have a child that might not otherwise be able to,,,,
blind_a52d5520be,ibm,gun violence is constantly on the rise with many innocent people loosing their lives every day.,,,,
blind_2d9e05834a,aaec,"Unlike a professional, parents always support children and give them much social skill so they can communicate well with others and have good habit in life",,,,
blind_959c3f109e,aaec,A well-informed man can act sensibly and make sound judgment,,,,
blind_90da0eefd2,ibm,"burning a flag is a form of free speech, therefore it forms a constitutional right and should not be banned.",,,,
blind_1d15ec99ca,ibm,we should not subsidize student loans because it was a personal decision and responsibility to accept the loan,,,,
blind_8401d5c8f7,ibm,Celibacy puts undue pressure on priests and leads to secret homosexuality and pedophilia and should be stopped.,,,,
blind_5acb82b86c,aaec,"Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation",,,,
blind_4ed7aa787b,ibm,subsidized loans help students get an education and without them they might not be able to go to school,,,,
blind_10a86922fb,aaec,Having knowledge about other countries and their languages lead to extend the child's vision,,,,
blind_5663c0c40a,ibm,it houses some of the most dangerous people and those people should be as far from society as possible.,,,,
blind_098e9d66ee,ibm,cosmetic surgery is needed for reconstructive surgery and is a necessary part of the process.,,,,
blind_44384ee82c,aaec,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,,,,
blind_e76f6ff88f,ibm,subsidizing student loans will just add to our massive debt which is the last thing america needs at the moment.,,,,
blind_2edeebfc21,ibm,people have a right to defend themselves by keeping arms and using them when necessary,,,,
blind_595b9fa1df,ibm,atheism should not be adopted because a world without a god is a world headed for destruction,,,,
blind_9554bce40b,ibm,cannabis is no worse than alcohol and should be legal to every adult american citizen.,,,,
blind_ce11820f9b,ibm,everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.,,,,
blind_c5dd21b159,ibm,"cannabis has been proven to alleviate pain, hep with insomnia and decrease stress in a natural method.",,,,
blind_c969246097,aaec,There are the build-up of the concept about healthy eating habits and self-control that really matter,,,,
blind_8ab1caa55b,ibm,three strikes laws make people less likely to be repeat offenders due to harsher punishments.,,,,
blind_cbd4f6cf48,ibm,it doesn`t have free healthcare and it has a lot of shootings and racist systems in place.,,,,
blind_6882706c38,ibm,we should abolish intellectual property rights so that everyone can share property which increases harmony in society,,,,
blind_5a9ab1f6a5,aaec,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",,,,
blind_388a645808,aaec,people who know a wide range of is better than people who know just one,,,,
blind_2b5fd457c0,ibm,journalism provides information and news so that we can know what is going on outside of our immediate area,,,,
blind_ee683b37ea,ibm,If you think of something first you don't want another person stealing that idea and profiting out of it.,,,,
blind_e602e89dfc,aaec,"when people have jobs, they will have money to spend on goods and services",,,,
blind_614bc248de,aaec,choosing the job that is similar to parents' jobs could benefit to one's career,,,,
blind_5f5dd139fa,ibm,prostitution should be legalied so women can work in safe spaces rather than be at risk working on the streets,,,,
blind_b249124f95,aaec,the classmates should be regarded as the most important influence on individual achievements,,,,
blind_a698470273,ibm,entrapment should be legalized because it is arbitrary to ban this one type of evidence.,,,,
blind_215f5bb91a,aaec,CCTV cameras are essential and therefore must be installed in every premise,,,,
blind_2c66b5df54,ibm,libertarianism is crucial to protect the individual rights and ideals of people of a state.,,,,
blind_448b3d6418,ibm,this type of surgery has risks associated with it just like other ones except this one is not needed,,,,
blind_2c8ea009da,ibm,we should adopt atheism because you can live your life freely without the worry of being judged by god,,,,
blind_e29e41f449,aaec,This is especially true in sectors like entertainment and sports,,,,
blind_94c45b384a,aaec,even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists,,,,
blind_b1f261a9b1,ibm,we should subsidize vocational education because it helps people gain knowledge for things they are passionate about,,,,
blind_bc0f740482,ibm,foster care just passes children around like they are a burden instead of finding a home for them.,,,,
blind_9c94633907,aaec,Every technology has it’s good and bad effects but I prefer having the technologies with their disadvantages to living like 16 century without any of modern facilities of technology,,,,
blind_b059f487d4,ibm,"foster parents can take advantage of children, and sometimes they volunteer just to get a paycheck.",,,,
blind_b4618cf03f,aaec,"if the university take the policy that no one can attend the classes without passing exam, students are highly likely to leave uncultivated",,,,
blind_90bddba4fc,aaec,"there are Reality TV, television programs in which people are put into artificial environments and situations, for example like ""Big Brother""",,,,
blind_bdcf8d6535,aaec,university is not just about academic studies but also a place to nurture artistic talent and develop soft skills,,,,
blind_6c326dbae5,ibm,an austerity regime is bad: the government needs to keep its programs and the people need to keep their money.,,,,
blind_7aeb8639eb,ibm,prohibiting women in combat is sexist. women are just as capable of men in combat with proper training.,,,,
blind_9a7ac302aa,ibm,we need to adopt an austerity regime so the government stops over spending on unnecessary things,,,,
blind_730b17553a,ibm,"there are enough rules and policies in place to protect child actors, making it a safe profession",,,,
blind_4d8a0e8eee,ibm,private military companies are risky businesses that can backfire against government's military forces,,,,
blind_37780e44d3,ibm,guantanamo bay is simply a place for the united states to torture prisoners without having to answer to the law.,,,,
blind_448e91c04b,aaec,indispensable public services like hospital and school worth every penny investing,,,,
blind_bc7e845621,ibm,"space exploration can provide valuable scientific information, and should be subsidized to ensure its continuation",,,,
blind_7018f653ae,aaec,Modern technogy has impacted the traditional cultures in both negative and positive ways,,,,
blind_922fcdace2,ibm,USA is the American dream for being the world power where all technologies are at their cusp equal their opportunities,,,,
blind_48798f42f5,aaec,high sales are obviously a reflection of the powerful advertisements,,,,
blind_6f11313d62,ibm,journalism should not be subsidized because subsidies could too easily be allotted according to political beliefs.,,,,
blind_50f7ae6bb7,ibm,urbanization allows populations easier access to food and services that improve quality of life.,,,,
blind_c6d4fbfe83,ibm,we should not adopt libertarianism because we need the government to help with things like roads and other infrastructure,,,,
blind_6658a3a07c,ibm,"if it were not mandatory to vaccinate our children, we would cease to exist rapidly ...",,,,
blind_7cd8781adc,ibm,"by enacting an austerity regime, we can improve the long-term health of the economy by reducing the national debt.",,,,
blind_dea0588524,aaec,How can the comtemporary scientists study the earth's gravity without the apple which fall on Newton's head,,,,
blind_3fbe1de482,ibm,we should not subsidize vocational education the same way we should not subsidize higher education for everybody.,,,,
blind_a1d456b5d7,aaec,people tend to follow the trend back to the tradition in the recent years,,,,
blind_ead36dd0d0,aaec,the demerits of applying these new developments in the agriculture industry cannot be overlooked,,,,
blind_3100dfe03a,ibm,freedom of expression extends to the right to choose one's own clothing and a school uniform prevents this choice.,,,,
blind_4e0ac45c79,ibm,"flag burning qualifies as the right to protest, which is a right upheld by the constitution.",,,,
blind_0ed36138bc,ibm,atheism can lead to amoral behavior as there is no code of ethics or religious guidance to live by,,,,
