row_id,text,system_prediction,true_label,matched_rules,ml_rule_agreement,confidence_pct,rater_correctness_1_5,rater_usefulness_1_5,rater_comments
17,assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.,Anumana,Anumana,,,88.43,,,
18,algorithmic trading makes trading easier and faster and keeps the system flowing smoothly.,Anumana,Anumana,,,76.01,,,
19,"flag burning qualifies as the right to protest, which is a right upheld by the constitution.",Shabda,Shabda,,,62.13,,,
20,"In medicine, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,Pratyaksha,,,89.77,,,
21,This is especially true in sectors like entertainment and sports,Upamana,Upamana,,,47.4,,,
22,"In philosophy, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,Upamana,Upamana:is like(is like),True,98.47,,,
23,"In education, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,Upamana,Upamana:like a/an(like a),True,99.5,,,
24,"the vow of celibacy is antiquated and obsolete in today's world, therefore it should be abandoned.",Anumana,Anumana,Anumana:therefore(therefore),True,91.24,,,
25,"There are many advantages setting up the university such as more opportunities to people in the community to pursue their studies, creation of jobs",Anumana,Anumana,Shabda:study/studies(studies),False,78.53,,,
26,we should not ban algorithmic trading because a lot of the time it helps the poorer countries,Anumana,Anumana,Anumana:because(because),True,99.5,,,
27,the vow of celibacy shouldn't be abandoned because it is sacred to become a priests and it follows the way of the bible,Anumana,Anumana,Anumana:because(because),True,96.87,,,
28,Social media platforms should not be regulated by the government because everyone has the freedom to express his opinion,Shabda,Shabda,Anumana:because(because); Shabda:government(government),True,97.47,,,
29,"In medicine, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,Upamana,Upamana:like a/an(like a),True,95.56,,,
30,"In philosophy, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,Upamana,Upamana:like a/an(like a),True,99.5,,,
31,"In econometrics, the instrument trace shows a repeatable pattern across three runs. The operator log notes the same anomaly at the same timestamp wind",Pratyaksha,Pratyaksha,,,80.19,,,
32,students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not ,Anumana,Anumana,Shabda:study/studies(studies),False,67.96,,,
33,"burning a flag is a form of free speech, therefore it forms a constitutional right and should not be banned.",Shabda,Shabda,Anumana:therefore(therefore),False,55.0,,,
34,"In medicine, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,Upamana,Upamana:is like(is like),True,96.66,,,
35,Social media platforms should be regulated by the government to prevent criminals from affecting people minds.,Shabda,Shabda,Shabda:government(government),True,91.54,,,
36,Master augmentation (philosophy): synthetic vignette uid master-pad-24; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,,,67.15,,,
37,Social media platforms ought to be regulated by the government to stop the crimes of blackmailing.,Shabda,Shabda,Shabda:government(government),True,90.32,,,
38,people may easily be manipulated into being a victim of assisted suicide by relatives with alterior motives,Anumana,Anumana,,,86.92,,,
39,making quick decisions leads to probable bad results,Anumana,Anumana,Anumana:leads to(leads to),True,99.5,,,
40,being celibate is a huge sacrifice and so is a good way of measuring how much someone will sacrifice for their faith.,Anumana,Anumana,,,79.4,,,
41,Social media platforms should not be regulated by the government because crimes can't be committed on the internet,Shabda,Shabda,Anumana:because(because); Shabda:government(government),True,89.79,,,
42,Flag burning is a constitutional right and cannot be banned without changing the constitution.,Shabda,Shabda,,,59.64,,,
43,Master augmentation (philosophy): synthetic vignette uid master-pad-38; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Shabda,,,40.87,,,
44,"people should have a right of ownership to their creations, ideas, and concepts that they created themselves.",Anumana,Anumana,,,84.86,,,
45,"living in big cities means more exposure to stimulation, like all kinds of information",Upamana,Upamana,,,45.62,,,
46,"clearly it must be forbidden, the lack of respect for national symbols should not be tolerated",Anumana,Anumana,,,75.89,,,
47,algorithmic trading stops people having control over their spending and therefore increases debt,Anumana,Anumana,Anumana:therefore(therefore),True,99.5,,,
48,public services and facilities should be given adequate attention by the authorities to maintain social stability,Anumana,Anumana,,,79.91,,,
49,"In education, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,Upamana,Upamana:is like(is like),True,99.5,,,
50,"an international sports event is a very good thing to gather people, let them dream, being proud of their nationality and forget problems, but just fo",Anumana,Anumana,,,76.33,,,
51,"human cloning will lead to scientific advancements that will save lives and as such, should not be banned",Anumana,Anumana,,,74.95,,,
52,Social media platforms should be regulated by the government to make sure everyone's posts meet the community standards.,Shabda,Shabda,Shabda:government(government),True,99.5,,,
53,"By taking up a job, a wife can earn more money to support her family life",Anumana,Anumana,,,63.91,,,
54,"In philosophy, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,Pratyaksha,,,88.46,,,
55,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",Anumana,Upamana,,,49.42,,,
56,species extinction is quite natural according to the theory of evolution,Anumana,Shabda,Shabda:according to (general)(according to),False,55.42,,,
