essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed,review_priority
essay214,Premise,"it is too strong to assert that smoking should be prohibited everywhere in the society, one smoking in a restaurant is considered to enjoy his time with the ignorance of others' health",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay265,Premise,We need to know and learn about the theoritical basis of our future job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay259,MajorClaim,working in the office is obviously better than working at home in terms of efficiency,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay344,Claim,government cannot equalize the price of creation of modern artist,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay356,MajorClaim,the prosperity of tourism can provide benefits for people on a global scale,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay251,Claim,"even if you are right, criticism is still helpful",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay189,MajorClaim,for a teenager it is important to pay attention on their studies,Shabda,Matched Shabda cues: studies,,,,high
essay317,Premise,Every day comes with new challenges for them like walking,Upamana,Matched Upamana cues: like,,,,high
essay161,Premise,"If you spend your spare time at home or something like that, you can't enjoy beautiful nature",Upamana,Matched Upamana cues: like,,,,high
essay341,Claim,"the government authorities and education institutes should work closely together to promote the traditional skills and ways of life, so as to make people to realize the value of them",Shabda,Matched Shabda cues: authorities,,,,high
essay030,Premise,students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it,Shabda,Matched Shabda cues: studies,,,,high
essay166,MajorClaim,I would choose to live in a big city,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay163,Claim,"living in big cities means more exposure to stimulation, like all kinds of information",Upamana,Matched Upamana cues: like,,,,high
essay273,MajorClaim,"living in big cities is quite funnier and better and more exciting than living in small towns because of many more social places, technologies facilities, better education and medical services",Anumana,Matched Anumana cues: because,,,,baseline_sample
essay028,Claim,"These days, not only many businesses, but also governments have to rely on advertising",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay032,MajorClaim,"aiding poor countries has positive effects, overweighing its side-effects for the several reasons",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay278,Premise,social groups and classes are significant factors to prepare students to contribute in discussion and encounter real social environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay079,Claim,public services and facilities should be given adequate attention by the authorities to maintain social stability,Shabda,Matched Shabda cues: authorities,,,,high
essay021,MajorClaim,high sales are obviously a reflection of the powerful advertisements,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay232,Claim,children usually mirror themselves on their parents,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay264,Claim,successful people can learn important and very valuable points from trying new things,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay135,MajorClaim,international aid should be prioritised,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay352,MajorClaim,It is disagreed that computer can affect children in a negative way if they use a computer on a daily basis,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay152,Premise,even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists,Upamana,Matched Upamana cues: like,,,,high
essay231,MajorClaim,they will grow up in a good neighborhood of a big city and they will be very happy about it,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay300,MajorClaim,schools should consider giving several small vocations to the students during the year,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay277,MajorClaim,learning facts has more subsequent advantages for students' future lives,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay084,Premise,supplying hand phones to the unemployed is a waste of the taxpayers' money,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay181,Claim,"There are many advantages setting up the university such as more opportunities to people in the community to pursue their studies, creation of jobs",Shabda,Matched Shabda cues: studies,,,,high
essay314,Claim,"Even when we managed to keep up with the pace by neglecting the details of a project and only aim for a general frame of the project, this will not be something satisfy for the company and clients",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay204,Premise,The professor has been assigned to teach only,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay389,Claim,"The more people in the country become educated, the better chance it can develop",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay280,Premise,students will choose a career that they want including the job with high salary include,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay280,Claim,people who know a wide range of is better than people who know just one,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay123,MajorClaim,teenagers need more attention and help in comparison with the higher ages,Upamana,Matched Upamana cues: comparison,,,,high
essay097,Claim,"they can improve their results, break records and bring victories to their own countries",Pratyaksha,Matched Pratyaksha cues: records,,,,high
essay096,MajorClaim,the juries should at least know something about the criminals before coming to a conclusion,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay279,Claim,everybody would like to know what is going on around the world in their everyday lives,Upamana,Matched Upamana cues: like,,,,high
essay163,Premise,I will absolutely choose a place to live that is not too far from my workplace,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay058,Claim,Competition should be always based on self-improvement rule,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay119,MajorClaim,at no time will the unique role of human teachers be replaced,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay261,Premise,"Art and music are, of course most accessible tools for modern people to liberate themselves from the extremely stressful life",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay201,Premise,"Just imagine if the project your company is sponsoring effectively improves the environment, then your company would be known as an environmentally-friendly company and benefit from it in this consumer-oriented society",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay074,Claim,there are some drawbacks from saving minority languages,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay104,MajorClaim,I would like to reiterate the necessity of the Internet in learning process,Upamana,Matched Upamana cues: like,,,,high
essay369,Claim,tourism should not be alledged to be notorous for its detriment to the ecological diversity,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay179,MajorClaim,"stress management, how to survive our unbearable stress, is the most important skill that we should have",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay286,MajorClaim,Many circumstances that I experienced change the way I think,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay050,Claim,many university authorities provide music lessons for their students,Shabda,Matched Shabda cues: authorities,,,,high
essay065,MajorClaim,government should invest more on medical care and education rather than on entertaining or sports facilities,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay336,MajorClaim,parents should be more worried about their children's attitudes to the 'cult of celebrity',Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay237,Premise,Most of the foods they eat are fat foods like chips or pizzas,Upamana,Matched Upamana cues: like,,,,high
essay140,Premise,both male and female students are equally competitive to each other and deserve to produce impressive results in various field of education,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay099,Premise,This experience also makes them aware of what they would like to make of their life,Upamana,Matched Upamana cues: like,,,,high
essay194,MajorClaim,we must help animals live safely and comfortably in their own environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay177,Premise,"Unlike traditional classes, distance education courses don't take place in a classroom, where you are surrounded by your teachers and classmates",Upamana,Matched Upamana cues: like,,,,high
essay206,Premise,people in small town have more happiness and friendship and less illness and stress,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay159,Premise,internet capable phones help influence the young ones to become more interested in chatting and social sites rather than doing school works,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay038,MajorClaim,the good technology bringing to us is undeniable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay140,Premise,"In India, for example, female students are more often likely to grab more number of top scorer positions in every year higher secondary school examinations",Anumana,Matched Anumana cues: likely,,,,baseline_sample
essay193,MajorClaim,"Using public transportation has a lot of advantages for the modern society facing a lot of problems: the environmental population, the isolation in life, the depletion of natural resources",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay105,Claim,"the measure cannot be adopted, otherwise those companies will go into liquidation",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay028,MajorClaim,modern society needs advertising,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay383,MajorClaim,technology has a great contribution to our lives and civilization,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay155,Premise,"When they are around the active smokers, they will inhale hazardous smoke",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay327,Premise,Having knowledge about other countries and their languages lead to extend the child's vision,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay195,Claim,The centre for research in agriculture can help my co-citizens to better exploit these land,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay228,Premise,It was fun and a little bit similar to the cinema,Upamana,Matched Upamana cues: similar to,,,,high
essay024,Claim,"people who are addicted to games, especially online games, can eventually bear dangerous consequences",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay183,MajorClaim,I personally consider this fact as the harmful thing that television has brought upon us,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay349,Claim,"students only need to study academic subjects like mathematics, physics",Upamana,Matched Upamana cues: like,,,,high
essay104,Claim,"the Internet is an adequate source of academic information, which will potentially fulfill the needs of university pupils",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay318,Premise,"Driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay292,Premise,"It is not uncommon that the teenages are found sleepless for several days playing on-line games at public internet bar, and there are also some media reports regarding the sudden death case of the teenages in the internet bar",Shabda,Matched Shabda cues: reports,,,,high
essay321,Premise,I can work long hours for earning more money,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay246,Claim,making quick decisions leads to probable bad results,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay294,MajorClaim,professors should be encouraged to mainly do research,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay079,MajorClaim,the authorities should also respect the value of arts which are individually and socially advantageous,Shabda,Matched Shabda cues: authorities,,,,high
essay226,Premise,How can the comtemporary scientists study the earth's gravity without the apple which fall on Newton's head,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay254,Premise,"Just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well",Upamana,Matched Upamana cues: like,,,,high
essay190,Premise,Many students as well as people find zoos as good places for witnessing and researching the true animal world,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay321,MajorClaim,I would prefer to have my own job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay057,Premise,creativity also gives aesthetic charm,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay321,MajorClaim,"I would like to run my own business to control my own time, and to earn more money based on my noble ideas",Upamana,Matched Upamana cues: like,,,,high
essay123,Premise,unfortunately nowadays there are some individuals who cheat the others for gaining more power and money,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay040,Premise,Part-time jobs furnish them with precious chance to practice what they are learning at their universities,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay053,Premise,"Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation",Upamana,Matched Upamana cues: like,,,,high
essay254,Claim,the influence on environmental problems are boarder and more profound than economic issues,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay248,MajorClaim,choosing the job that is similar to parents' jobs could benefit to one's career,Upamana,Matched Upamana cues: similar to,,,,high
essay029,Premise,"By taking up a job, a wife can earn more money to support her family life",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay288,Claim,"it should have more alternatives to use public transportation, such as a subway train or a sky train",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay276,MajorClaim,dancing is an important part of culture,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay140,MajorClaim,there should not be any room for partiality in terms of gender while allocating seats for students in every university courses,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay330,Claim,"In personal live, we have some responsibilities towards to other people, there is nobody who likes all of these responsibilities",Upamana,Matched Upamana cues: like,,,,high
essay269,MajorClaim,I do really prefer to improve my ability of relating people and make more friends rather than studying hard in school,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay384,MajorClaim,violent contents must be excluded from all kidvids in order to reduce the proportion of juvenile delinquency,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay271,Claim,attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success,Shabda,Matched Shabda cues: studies,,,,high
essay109,Premise,This is actually very environmentally unfriendly,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay151,Premise,"exchange of knowledge in different sectors of research like electronics, medical, astronomy etc would become easier",Upamana,Matched Upamana cues: like,,,,high
essay342,MajorClaim,schools and adults should put a sense of cooperation in children to make them becoming a useful adult whether in society or community,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay024,Premise,"When they concentrate on computer for too long, their eyes will get tired, which is the main reason for some eyes problems, typically shortsighted",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay336,Claim,children may see that this behavior is inexcusable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay036,Premise,The accidents cannot be completely avoided although only those who have gun licenses can purchase guns,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay136,Premise,schools and university are places in which students gather to be educated and learn from each others as well as formal educators,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay046,MajorClaim,the main function of a university remains as the provision of knowledge and access to resources,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay315,Claim,"Cultural events such as exhibitions and theatre plays can enrich one's and widen his horizons, things which aren't offered by small towns",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay060,Claim,the sole purpose of education is to nurture a young mind and not thrust studies on them,Shabda,Matched Shabda cues: studies,,,,high
essay134,Claim,qualification should be the foremost measurement to determine the value of a employer,Pratyaksha,Matched Pratyaksha cues: measurement,,,,high
essay397,MajorClaim,Modern technogy has impacted the traditional cultures in both negative and positive ways,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay091,Claim,"a single international language may, to some extent, erode the cultural identity of a nation",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay199,Claim,we are building our personalities when we study alone,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay311,Premise,I don't like electronics,Upamana,Matched Upamana cues: like,,,,high
essay068,Premise,they regard the violence as reasonable and justifiable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
