essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed
essay194,Claim,many zoos do not meet the standards of care required for them,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay208,Claim,students can also gain knowledge more practical and vivid,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay374,MajorClaim,the role of zoos towards both human and animals is undeniably indispensable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay122,Claim,The only disadvantage is the nosiness of competitions which students will participate,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay316,Premise,"ordinary people, especially the younger generation, will fall into a certain pattern - work, pay bills for housing, work; and I am sure that it will increase people's dissatisfaction of the government",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay065,Claim,"Entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay353,Claim,"children from poorer families are prone to have bad habits such as: crime, thievery and thuggery",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay092,MajorClaim,"people should, especially for ones lacking basic aesthetic knowledge, care more about fashion trends in lives as they can keep pace with the world's changes",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay105,Claim,"the measure cannot be adopted, otherwise those companies will go into liquidation",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay386,Premise,"students share even more time together than with their parents, explaining a great deal of wisdom they absorb from each others",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay295,MajorClaim,I support this point that the learning with a teacher is better,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay170,MajorClaim,there were many remarkable achievements in technology fields that have numbers of beneficial effects on the whole society or individuals,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay269,Claim,Relating well to people can bring plenty of merits to future job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay210,Claim,society should be educated and became aware of health issues so that the potential precautions on the way of illnesses can be taken instead of trying to provide treatment for the increasing number of patients,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay024,MajorClaim,"it still has its bad side, especially for children",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay130,Claim,"Some people may oppose these, citing the environmental and cultural destruction caused by tourism",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay179,Claim,"if we don't have a good stress management skill, it may lead to some critical problems",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay327,Claim,"Learning that not only help them to improve their minds and memories, but can extend their visions about the other countries",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay153,Claim,having exposed to money management at a high school level will help them in prioritizing the financial commitments efficiently,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay282,Premise,"I feel that after working out, I am easily to fall asleep",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay306,MajorClaim,the convenience it brings in people's are significant,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay214,MajorClaim,"it is unwise to smoke in a restaurant as well as other public places, and relevant state laws should be codified to strictly prohibit it",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay204,Premise,Working in group leads to more discussion and more opinion among the class,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay368,Premise,After enforcing restrictions the situation came to control and this act as benefit rendered to the public,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay299,MajorClaim,it is better for people to learn a foreign language in their own country,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay078,MajorClaim,flourishing economies can go hand in hand with environmental preservation,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay128,MajorClaim,I want my children to get knowledge they have desire to study in order to have distinguished achievement,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay053,Premise,"Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation",Upamana,Matched Upamana cues: like,,,
essay001,MajorClaim,a more cooperative attitudes towards life is more profitable in one's success,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay191,Claim,"When pupils make a group for studying, all member of group have the same chance to help each other",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay165,Claim,they can manage the time spending on classes to do other benefit things if they already understand topic in the class very well,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay364,Premise,"Every country has unique tradtions which show their creation, intelligence",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay278,Premise,social groups and classes are significant factors to prepare students to contribute in discussion and encounter real social environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay399,MajorClaim,media should shift its focus from covering celebrities to elsewhere,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay016,MajorClaim,it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay091,MajorClaim,a single international language contributes to global community in terms of economic and cultural communication,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay325,Premise,The high reputation and popularity of a company is earned by some brilliant workers in public relation department with excellent skill to propagate this company,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay105,MajorClaim,"I disagree with reducing the cost of medicines, which may exacerbate their qualities",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay291,Claim,college and university should consider students to study with them only if they are good students,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay326,MajorClaim,advantages of computers outweigh disadvantages,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay112,Premise,They help to ensure fairness by imposing the same conditions on all exam candidates,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay305,Claim,"When the students go to university, they have matured mentally and physically",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay102,MajorClaim,public museums and art galleries will still be necessary,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay360,MajorClaim,other celebrities do lead young people in the right direction,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay149,MajorClaim,family plays a more important role in helping one to pursuit success,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay286,Claim,These experiences taught me to change my life to be a better person,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay147,MajorClaim,games are no longer too important for them,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay204,MajorClaim,I prefer traditional learning classes,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay206,Premise,people in small town have more happiness and friendship and less illness and stress,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay238,Claim,"the museums are a visual source to know the history, tradition and culture of any place in the world",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay099,Premise,This experience also makes them aware of what they would like to make of their life,Upamana,Matched Upamana cues: like,,,
essay033,Premise,they admit that globalization can be considered a chance for people of each country to promote their lifestyle through the stuffs and services imported from other countries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay216,MajorClaim,the most possible solution to these problems is improving roads and highways,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay200,MajorClaim,human activities are having a bad effect upon our planet,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay303,Premise,their bodies cannot hold the pace,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay147,Premise,they cannot spend enough time and effort to their favorite games as they did in 15 or 20 years ago,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay371,Claim,it is vital to follow one's own religious practices which can bring the enlightenment in mind,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay024,Premise,"When they concentrate on computer for too long, their eyes will get tired, which is the main reason for some eyes problems, typically shortsighted",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay011,MajorClaim,the physical education part should not be outweighed,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay072,Premise,"Any kinds of sports, such as jogging, swimming, or playing basketball, can effectively facilitate human respiration and circulation system",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay015,MajorClaim,we cannot deny the threat from email and text messaging to the status of written language because their obvious popularity,Anumana,Matched Anumana cues: because,,,
essay102,Premise,the resolution ratio of the screen is not high enough,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay169,Premise,This is requires professors provide high quality courses,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay230,Claim,"to help their children to adapt adult life, parents should let them experience it as much as they can",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay261,MajorClaim,the art and music should be required to study,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay360,MajorClaim,this is not necessarily the case for those celebrities who are ambitious in their jobs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay378,MajorClaim,the teacher is the best option for children's education in some aspects,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay211,Claim,students can learn practical skills after school hours from their parents,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay122,MajorClaim,The new high school will bring a lot of advantages to my community,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay156,Premise,Imagine an actor who is a child’s favorite is doing violent roles,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay035,MajorClaim,"The power of advertising maybe over-rated, we can not deny that the final decision is on the hands of us consumers",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay231,Premise,In a big city there are more kinds of people and more things to do,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay168,MajorClaim,There will have many disadvantages if the workers work at home,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay238,Claim,museums provide a tremendous amount of information about different aspects of the history and culture of that place,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay328,Premise,"when they study together and help each other, they exercise the the real life as they age",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay389,Claim,"The more people in the country become educated, the better chance it can develop",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay139,Premise,"If certain species are absent from this system, such kind of balance is likely to be disrupted and other species, including human beings, will come under threat",Anumana,Matched Anumana cues: likely,,,
essay095,MajorClaim,the development of news media has been making great inroads into the lives of all people,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay109,Claim,television companies import foreign programmes from time to time and audiences might accept their ideas which maybe otherwise not welcomed to local culture,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay224,Premise,they need to earn money to manage their life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay134,Premise,Social skills seem to be less important as they cannot contribute to the success of a surgery,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay063,Claim,it is certain that spending less time on cooking will be the main trend in near future,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay027,Premise,they rarely provide local residents with any technological aid and even cause contamination in some areas,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay358,Claim,These factors affect people who work or study from home,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay376,Premise,they will have a fundamental grasp of how to lead a healthy lifestyle,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay094,Premise,the government can save a lot of money for our country's health budget,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay182,MajorClaim,individuals should pay their college tuition,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay081,MajorClaim,there should not be any restrictions on artists' work,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay193,MajorClaim,The development of public transportation is the most essential thing for a developed society,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay221,MajorClaim,the zoo is so useful for the earth,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay062,MajorClaim,both genders have equal rights and universities should accept them in equal numbers,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay376,Premise,"Children should be taught about balanced diets, nutritious food as well as harmful ones",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay139,Premise,The environment on the Earth has been transformed many times since the first species came into being,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay041,MajorClaim,students can learn outside the textbook and classroom with a real working experiences that can be a great opportunity for future job consideration whereas organizations earn much more as they can not only save time and money but also be enlightened by what young people have to say,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay153,MajorClaim,higher school students should be made aware of the money management,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay362,Premise,"The misery is so ingrained in their mind that they refuse to change, or more precisely, to accept the existence of such modernity",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay280,Premise,bachelors can earn lots of money by working in other fields due to their knowledge,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay354,Claim,people are experiencing serious medical problems,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay033,MajorClaim,I would rather classify myself in the proponents of globalization as a speeding factor of global progress,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay330,MajorClaim,"there are sometimes unpleasant and boring parts which is not liked by anyone, but most of them are about responsibilities which is the part of individual's live",Upamana,Matched Upamana cues: like,,,
essay378,Premise,Nowadays we are facing a global economic crisis and it is necessary for both parents to work,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay304,Claim,a stable and sustainable environment is essential for the weather,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay292,Claim,playing computer games is a a waste of time,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay399,MajorClaim,this is a worrying tread which has negative impact on children,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay155,MajorClaim,smoking should not be permitted in restaurants,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay205,Premise,in order to gain intrinsic motivation students need to become aware of their strengths and aims,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay115,Claim,the production and labour cost of each kilogram of the agriculture products dramatically decreased,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay275,MajorClaim,it is very important to learn our children from their beginning of their life to be financially responsible persons,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay058,Premise,A person can not learn or achieve everything by oneself,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay272,MajorClaim,"I personally disagree with this notion that these types of communication, telephones and email, made people less personal",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay369,Claim,tourism should not be alledged to be notorous for its detriment to the ecological diversity,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay338,MajorClaim,using of these soft devices have cut much of time people need to see with their relatives,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay320,MajorClaim,type of temper and advantages of individual work are the most persuasive arguments in favor of studying alone,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay335,Premise,"Scientists believe that one day people will face their developments, for instance robots, and they will not succeed to control them",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay047,Claim,"zoos, which are equipped with modern facilities and professionals, would provide better care for the animals inside",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay373,Claim,death penalty neither controls the violent in society nor creates a violent culture,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay205,MajorClaim,it is clear that going to classes should be optional for students,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay242,Premise,Factories released a huge amount of wasters into river and soil,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay247,Premise,"He used his car to drive to the other end of the country, worked there during the week and came home for the weekend",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay163,Claim,There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay152,Claim,"We live in an era that technology is developing in the speed of light, steering the world toward a much more convenient place",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay357,Premise,their knowledge and adaptability is priceless,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay330,Premise,People sometimes can attend any activities by insisting on any of their friends although they don't really want,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay192,Claim,"while differences give the opportunity to learn, they can also mean that sometimes it can be difficult to reach an agreement",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay337,MajorClaim,they also contribute to some social problems,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay246,Claim,"hasty decisions, not only goes to waste, but also, could affect the entire life of the person",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay351,MajorClaim,I disagree with the idea that salary outweighs any other motivators,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay232,Claim,children usually mirror themselves on their parents,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay111,MajorClaim,it should be made illegal,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay329,Claim,in this competitive world you have to be fearless and face all new situations,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay294,Claim,"While extending the way of their own development, the outcomes of the researches will also benefit the whole society",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay253,MajorClaim,using life experiences and examples to demonstrate the knowledge on a subject is an effective way to attract students' attention and keep them eager on learning,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay075,MajorClaim,government should give priorities to invest more money on the basic social welfares such as education and housing instead of subsidizing arts relative programs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay265,Premise,We need to know and learn about the theoritical basis of our future job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay002,Claim,sustaining the cultural values of immigrants is paramount essential,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay255,MajorClaim,there will be a decrease in cars use in the future,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay202,Claim,if the co-workers do not corporate with each other that would be devastating in a work environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay025,MajorClaim,"the advantages of building a factory will outweigh its disadvantages, if we tackle the environmental problems brought by factories",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay288,Claim,"it should have more alternatives to use public transportation, such as a subway train or a sky train",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay183,MajorClaim,it has destroyed communication among friends and family,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay225,Premise,Another great thing about being a child is possibility learning new and interesting things about the world you live in every single day,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay143,Claim,successful people do not have to try new things or take risks,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay121,Premise,As every day we read and hear in televisions and newspapers that some factories hit the environment by their toxic substances,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay054,MajorClaim,museums and art galleries are necessary to be preserved for its importance of education and culture,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay215,MajorClaim,Having one's own hobbies and doing physical activities can bring us a lot of benefits,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay191,Premise,They can work together for understanding the complicated aspect of a course,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay254,MajorClaim,tackling down environmental problems is of the first priority rather than economic developments,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
