essay_id,component_type,text,candidate_pramana,final_pramana,strength_label,reviewed
essay046,MajorClaim,the main function of a university remains as the provision of knowledge and access to resources,Anumana,Anumana,Moderate,yes
essay183,MajorClaim,I personally consider this fact as the harmful thing that television has brought upon us,Anumana,Anumana,Moderate,yes
essay022,Claim,"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming",Anumana,Anumana,Moderate,yes
essay195,MajorClaim,"My country need to focus more on the agriculture by establishing centers for research in this field, which will have some very positive consequences on agriculture people work, on the economy and on the employment",Anumana,Anumana,Moderate,yes
essay273,MajorClaim,"living in big cities is quite funnier and better and more exciting than living in small towns because of many more social places, technologies facilities, better education and medical services",Anumana,Anumana,Strong,yes
essay320,Claim,working alone allows me to avoid spending time and efforts on many things that are an integral part of teamwork,Anumana,Anumana,Moderate,yes
essay379,MajorClaim,there are still many other aspects which should be seen as important as income when people choose a job,Anumana,Anumana,Moderate,yes
essay199,Premise,"when I fix my study plan with a specific time and finish it on time, it improves my ability in the future to become more precise and careful",Anumana,Anumana,Moderate,yes
essay317,Claim,Our difficult experiences also make us robust and strong unknowingly,Anumana,Anumana,Moderate,yes
essay370,MajorClaim,there have to be some alterations before IT has more serious impact on each individual's life,Anumana,Anumana,Moderate,yes
essay061,MajorClaim,"The whole world is dependent on computers, without which, the world will go back hundreds of years",Anumana,Anumana,Moderate,yes
essay356,Claim,tourism can have a negative impact on the natural environment,Anumana,Anumana,Moderate,yes
essay163,Claim,There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring,Anumana,Anumana,Moderate,yes
essay207,Premise,"if a gradate stays in the city after leaving his college and seeks a job with good salary instead of returning his village to do farm work, he could perhaps buy a house or his own car after a short time",Anumana,Anumana,Moderate,yes
essay140,MajorClaim,there should not be any room for partiality in terms of gender while allocating seats for students in every university courses,Anumana,Anumana,Moderate,yes
essay311,Claim,"if the university take the policy that no one can attend the classes without passing exam, students are highly likely to leave uncultivated",Anumana,Anumana,Moderate,yes
essay138,Claim,traditional education has some merits like feedbacks and inspirations that cannot be replaced in the near future,Upamana,Upamana,Moderate,yes
essay381,Premise,we need to consider that police armed with guns or any other kinds of legal weapons just attempts to protect not only civilians but also himself,Anumana,Anumana,Moderate,yes
essay359,Claim,most people will be trying to understand each other after they have conflict or debates,Anumana,Anumana,Moderate,yes
essay399,MajorClaim,this is a worrying tread which has negative impact on children,Anumana,Anumana,Moderate,yes
essay330,MajorClaim,"there are sometimes unpleasant and boring parts which is not liked by anyone, but most of them are about responsibilities which is the part of individual's live",Upamana,Anumana,Moderate,yes
essay278,Premise,our body and moral health depend to physical activities directly,Anumana,Anumana,Moderate,yes
essay259,MajorClaim,working in the office is obviously better than working at home in terms of efficiency,Anumana,Anumana,Moderate,yes
essay028,MajorClaim,modern society needs advertising,Anumana,Anumana,Weak,yes
essay295,Premise,"if someone faced so complicated confusion in his study and his many endeavors on making out it were miscarried, this might be ended in disappointment",Anumana,Anumana,Moderate,yes
essay265,Premise,We need to know and learn about the theoritical basis of our future job,Anumana,Anumana,Moderate,yes
essay280,Claim,people who know a wide range of is better than people who know just one,Anumana,Anumana,Moderate,yes
essay246,Premise,"To put it differently, is that after this person has quit his job and became unemployed, he can no longer pay his bills nor buy what he needs for his everyday needs",Anumana,Anumana,Moderate,yes
essay226,Premise,How can the comtemporary scientists study the earth's gravity without the apple which fall on Newton's head,Anumana,Anumana,Moderate,yes
essay170,Claim,the development of technology can prompt economic growth and the improvement of living standards,Anumana,Anumana,Moderate,yes
essay189,MajorClaim,for a teenager it is important to pay attention on their studies,Shabda,Anumana,Moderate,yes
essay317,Premise,Every day comes with new challenges for them like walking,Upamana,Upamana,Moderate,yes
essay161,Premise,"If you spend your spare time at home or something like that, you can't enjoy beautiful nature",Upamana,Upamana,Moderate,yes
essay341,Claim,"the government authorities and education institutes should work closely together to promote the traditional skills and ways of life, so as to make people to realize the value of them",Shabda,Anumana,Moderate,yes
essay030,Premise,students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it,Shabda,Anumana,Moderate,yes
essay085,MajorClaim,CCTV cameras are essential and therefore must be installed in every premise,Anumana,Anumana,Strong,yes
essay163,Claim,"living in big cities means more exposure to stimulation, like all kinds of information",Upamana,Upamana,Moderate,yes
essay028,Claim,"These days, not only many businesses, but also governments have to rely on advertising",Anumana,Anumana,Moderate,yes
essay349,Premise,these subject are necessary for students' future,Anumana,Anumana,Weak,yes
essay029,MajorClaim,married women could go to work in order to enjoy the working life outside the home,Anumana,Anumana,Moderate,yes
essay079,Claim,public services and facilities should be given adequate attention by the authorities to maintain social stability,Shabda,Anumana,Moderate,yes
essay232,Claim,children usually mirror themselves on their parents,Anumana,Anumana,Weak,yes
essay374,MajorClaim,the role of zoos towards both human and animals is undeniably indispensable,Anumana,Anumana,Moderate,yes
essay179,MajorClaim,"stress management, how to survive our unbearable stress, is the most important skill that we should have",Anumana,Anumana,Moderate,yes
essay352,MajorClaim,It is disagreed that computer can affect children in a negative way if they use a computer on a daily basis,Anumana,Anumana,Moderate,yes
essay152,Premise,even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists,Upamana,Upamana,Moderate,yes
essay240,Premise,they are aware of how to lead people to reach success despite what kind of difficulties are getting in their way,Anumana,Anumana,Moderate,yes
essay381,Claim,a society that its police force carries guns will be definitely seen as a highly violent one,Anumana,Anumana,Moderate,yes
essay277,MajorClaim,learning facts has more subsequent advantages for students' future lives,Anumana,Anumana,Moderate,yes
essay206,Premise,people in small town have more happiness and friendship and less illness and stress,Anumana,Anumana,Moderate,yes
essay181,Claim,"There are many advantages setting up the university such as more opportunities to people in the community to pursue their studies, creation of jobs",Shabda,Anumana,Moderate,yes
essay336,MajorClaim,parents should be more worried about their children's attitudes to the 'cult of celebrity',Anumana,Anumana,Moderate,yes
essay354,Premise,The main reason why people are becoming so addicted to sitting at their homes even for the whole day is an advance technology,Anumana,Anumana,Moderate,yes
essay291,MajorClaim,Studying in college and university is a great opportunity that all students should have,Anumana,Anumana,Moderate,yes
essay375,MajorClaim,"no matter how widely they are spoken, every language should be protected from being disappeared",Anumana,Anumana,Moderate,yes
essay123,MajorClaim,teenagers need more attention and help in comparison with the higher ages,Upamana,Upamana,Moderate,yes
essay097,Claim,"they can improve their results, break records and bring victories to their own countries",Pratyaksha,Anumana,Moderate,yes
essay096,MajorClaim,the juries should at least know something about the criminals before coming to a conclusion,Anumana,Anumana,Moderate,yes
essay279,Claim,everybody would like to know what is going on around the world in their everyday lives,Upamana,Anumana,Moderate,yes
essay163,Premise,I will absolutely choose a place to live that is not too far from my workplace,Anumana,Anumana,Moderate,yes
essay166,Claim,while small towns have picturesque nature and pure air,Anumana,Anumana,Moderate,yes
essay084,Premise,supplying hand phones to the unemployed is a waste of the taxpayers' money,Anumana,Anumana,Moderate,yes
essay141,Premise,communicating in person can be more convincing,Anumana,Anumana,Weak,yes
essay017,Premise,Emergence of new television channels or shows are not surprising,Anumana,Anumana,Moderate,yes
essay344,Claim,government cannot equalize the price of creation of modern artist,Anumana,Anumana,Moderate,yes
essay040,Premise,Part-time jobs furnish them with precious chance to practice what they are learning at their universities,Anumana,Anumana,Moderate,yes
essay201,Claim,conservation is more urgent now than at any time in history,Anumana,Anumana,Moderate,yes
essay074,Claim,there are some drawbacks from saving minority languages,Anumana,Anumana,Weak,yes
essay104,MajorClaim,I would like to reiterate the necessity of the Internet in learning process,Upamana,Anumana,Moderate,yes
essay369,Claim,tourism should not be alledged to be notorous for its detriment to the ecological diversity,Anumana,Anumana,Moderate,yes
essay214,Premise,"it is too strong to assert that smoking should be prohibited everywhere in the society, one smoking in a restaurant is considered to enjoy his time with the ignorance of others' health",Anumana,Anumana,Moderate,yes
essay321,Claim,"time is the more valuable thing, which I have in my life",Anumana,Anumana,Moderate,yes
essay050,Claim,many university authorities provide music lessons for their students,Shabda,Anumana,Moderate,yes
essay109,Premise,This is actually very environmentally unfriendly,Anumana,Anumana,Weak,yes
essay181,Premise,"when people have jobs, they will have money to spend on goods and services",Anumana,Anumana,Moderate,yes
essay237,Premise,Most of the foods they eat are fat foods like chips or pizzas,Upamana,Upamana,Moderate,yes
essay300,MajorClaim,schools should consider giving several small vocations to the students during the year,Anumana,Anumana,Moderate,yes
essay099,Premise,This experience also makes them aware of what they would like to make of their life,Upamana,Anumana,Moderate,yes
essay194,MajorClaim,we must help animals live safely and comfortably in their own environment,Anumana,Anumana,Moderate,yes
essay177,Premise,"Unlike traditional classes, distance education courses don't take place in a classroom, where you are surrounded by your teachers and classmates",Upamana,Upamana,Moderate,yes
essay176,Premise,visiting a museum saves their precious time for making a decision,Anumana,Anumana,Moderate,yes
essay284,Claim,we can’t always let good people be rewarded in movies or TV programs,Anumana,Anumana,Moderate,yes
essay038,MajorClaim,the good technology bringing to us is undeniable,Anumana,Anumana,Weak,yes
essay140,Premise,"In India, for example, female students are more often likely to grab more number of top scorer positions in every year higher secondary school examinations",Anumana,Anumana,Moderate,yes
essay193,MajorClaim,"Using public transportation has a lot of advantages for the modern society facing a lot of problems: the environmental population, the isolation in life, the depletion of natural resources",Anumana,Anumana,Moderate,yes
essay105,Claim,"the measure cannot be adopted, otherwise those companies will go into liquidation",Anumana,Anumana,Moderate,yes
essay113,Premise,residents in rural areas still depend on their own farm for food production,Anumana,Anumana,Moderate,yes
essay031,Claim,it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles,Anumana,Anumana,Moderate,yes
essay155,Premise,"When they are around the active smokers, they will inhale hazardous smoke",Anumana,Anumana,Moderate,yes
essay280,Premise,students will choose a career that they want including the job with high salary include,Anumana,Anumana,Moderate,yes
essay195,Claim,The centre for research in agriculture can help my co-citizens to better exploit these land,Anumana,Anumana,Moderate,yes
essay228,Premise,It was fun and a little bit similar to the cinema,Upamana,Upamana,Moderate,yes
essay024,Claim,"people who are addicted to games, especially online games, can eventually bear dangerous consequences",Anumana,Anumana,Moderate,yes
essay349,Claim,"students only need to study academic subjects like mathematics, physics",Upamana,Upamana,Moderate,yes
essay104,Claim,"the Internet is an adequate source of academic information, which will potentially fulfill the needs of university pupils",Anumana,Anumana,Moderate,yes
essay318,Premise,"Driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so",Anumana,Anumana,Moderate,yes
essay292,Premise,"It is not uncommon that the teenages are found sleepless for several days playing on-line games at public internet bar, and there are also some media reports regarding the sudden death case of the teenages in the internet bar",Shabda,Shabda,Strong,yes
essay366,Premise,Adolescents follow not only the make up and attire of their favorite stars but also their behavior,Anumana,Anumana,Moderate,yes
essay261,Premise,"Art and music are, of course most accessible tools for modern people to liberate themselves from the extremely stressful life",Anumana,Anumana,Moderate,yes
essay294,MajorClaim,professors should be encouraged to mainly do research,Anumana,Anumana,Weak,yes
essay079,MajorClaim,the authorities should also respect the value of arts which are individually and socially advantageous,Shabda,Anumana,Moderate,yes
essay285,Premise,"in biology class, learning anatomy by operating fog have many benefits",Anumana,Anumana,Moderate,yes
essay254,Premise,"Just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well",Upamana,Upamana,Moderate,yes
essay190,Premise,Many students as well as people find zoos as good places for witnessing and researching the true animal world,Anumana,Anumana,Moderate,yes
essay305,MajorClaim,"if the students choose the classes as optional, it would provide more benefits than drawbacks",Anumana,Anumana,Moderate,yes
essay057,Premise,creativity also gives aesthetic charm,Anumana,Anumana,Weak,yes
essay321,MajorClaim,"I would like to run my own business to control my own time, and to earn more money based on my noble ideas",Upamana,Anumana,Moderate,yes
essay123,Premise,unfortunately nowadays there are some individuals who cheat the others for gaining more power and money,Anumana,Anumana,Moderate,yes
essay159,Premise,internet capable phones help influence the young ones to become more interested in chatting and social sites rather than doing school works,Anumana,Anumana,Moderate,yes
essay053,Premise,"Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation",Upamana,Upamana,Moderate,yes
essay254,Claim,the influence on environmental problems are boarder and more profound than economic issues,Anumana,Anumana,Moderate,yes
essay248,MajorClaim,choosing the job that is similar to parents' jobs could benefit to one's career,Upamana,Upamana,Moderate,yes
essay029,Premise,"By taking up a job, a wife can earn more money to support her family life",Anumana,Anumana,Moderate,yes
essay321,Premise,I can work long hours for earning more money,Anumana,Anumana,Moderate,yes
essay383,MajorClaim,technology has a great contribution to our lives and civilization,Anumana,Anumana,Moderate,yes
essay288,Claim,"it should have more alternatives to use public transportation, such as a subway train or a sky train",Anumana,Anumana,Moderate,yes
essay330,Claim,"In personal live, we have some responsibilities towards to other people, there is nobody who likes all of these responsibilities",Upamana,Anumana,Moderate,yes
essay269,MajorClaim,I do really prefer to improve my ability of relating people and make more friends rather than studying hard in school,Anumana,Anumana,Moderate,yes
essay384,MajorClaim,violent contents must be excluded from all kidvids in order to reduce the proportion of juvenile delinquency,Anumana,Anumana,Moderate,yes
essay271,Claim,attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success,Shabda,Anumana,Moderate,yes
essay043,Claim,it is clear that people can freely express their patriotic feelings during international sports events,Anumana,Anumana,Moderate,yes
essay151,Premise,"exchange of knowledge in different sectors of research like electronics, medical, astronomy etc would become easier",Upamana,Upamana,Moderate,yes
essay342,MajorClaim,schools and adults should put a sense of cooperation in children to make them becoming a useful adult whether in society or community,Anumana,Anumana,Moderate,yes
essay024,Premise,"When they concentrate on computer for too long, their eyes will get tired, which is the main reason for some eyes problems, typically shortsighted",Anumana,Anumana,Moderate,yes
essay336,Claim,children may see that this behavior is inexcusable,Anumana,Anumana,Weak,yes
essay036,Premise,The accidents cannot be completely avoided although only those who have gun licenses can purchase guns,Anumana,Anumana,Moderate,yes
essay135,MajorClaim,international aid should be prioritised,Anumana,Anumana,Weak,yes
essay136,Premise,schools and university are places in which students gather to be educated and learn from each others as well as formal educators,Anumana,Anumana,Moderate,yes
essay315,Claim,"Cultural events such as exhibitions and theatre plays can enrich one's and widen his horizons, things which aren't offered by small towns",Anumana,Anumana,Moderate,yes
essay060,Claim,the sole purpose of education is to nurture a young mind and not thrust studies on them,Shabda,Anumana,Moderate,yes
essay134,Claim,qualification should be the foremost measurement to determine the value of a employer,Pratyaksha,Anumana,Moderate,yes
essay397,MajorClaim,Modern technogy has impacted the traditional cultures in both negative and positive ways,Anumana,Anumana,Moderate,yes
essay246,Claim,making quick decisions leads to probable bad results,Anumana,Anumana,Weak,yes
essay199,Claim,we are building our personalities when we study alone,Anumana,Anumana,Moderate,yes
essay311,Premise,I don't like electronics,Upamana,Anumana,Weak,yes
essay068,Premise,they regard the violence as reasonable and justifiable,Anumana,Anumana,Weak,yes
essay102,Premise,you can't see the texture of the artwork which is very important to study the skills used by the artist,Anumana,Anumana,Moderate,yes
essay091,Claim,"a single international language may, to some extent, erode the cultural identity of a nation",Anumana,Anumana,Moderate,yes
essay346,MajorClaim,my term of a successful man is one who has certain achievements in life rather than the one with a high income,Anumana,Anumana,Moderate,yes
essay058,Claim,Competition should be always based on self-improvement rule,Anumana,Anumana,Weak,yes
essay140,Premise,both male and female students are equally competitive to each other and deserve to produce impressive results in various field of education,Anumana,Anumana,Moderate,yes
essay299,MajorClaim,its better that people learn foreign language in their own country,Anumana,Anumana,Moderate,yes
essay358,Premise,They save the travelling time to Universities and utilize that time on their studies,Shabda,Anumana,Moderate,yes
essay234,MajorClaim,standardized tests are valuable option for educational system as long as it would help teachers to know if the students are really getting knowledge,Anumana,Anumana,Moderate,yes
essay002,Premise,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",Upamana,Upamana,Moderate,yes
essay021,MajorClaim,high sales are obviously a reflection of the powerful advertisements,Anumana,Anumana,Moderate,yes
essay216,Claim,spending on renovating the highways and roads can improve the quality,Anumana,Anumana,Moderate,yes
essay270,Premise,"If some employees lack the ability to plan and organize ahead, they may get the procrastination and therefore take into action until the deadline is imminent",Anumana,Anumana,Strong,yes
essay085,Premise,"when a shop is attacked by thieves, the clips taken by these cameras serve as a source of evidence to help the thieves to be traced",Anumana,Anumana,Moderate,yes
essay314,Claim,"Even when we managed to keep up with the pace by neglecting the details of a project and only aim for a general frame of the project, this will not be something satisfy for the company and clients",Anumana,Anumana,Moderate,yes
essay054,Claim,"people who watch exhibitions on TV or internet at home, save the time and money on the road, which is increasingly significant particularly to people in modern society",Anumana,Anumana,Moderate,yes
essay251,Premise,Those who don't even take a word of criticism will eventually lose chances to get improved,Anumana,Anumana,Moderate,yes
essay124,Claim,in this age they are not expected to be responsible,Anumana,Anumana,Moderate,yes
essay083,Premise,while generating energy from any source be it hydro power or oil there always is some wastage and so is the case with nuclear power,Anumana,Anumana,Moderate,yes
essay087,Claim,"They have more opportunities, profits, and authorities",Shabda,Anumana,Weak,yes
essay162,Claim,"cheap air fares have broadened travel possibilities for many people, particularly for the lower income group",Anumana,Anumana,Moderate,yes
essay390,Premise,"We definitely do not want our children to spend money on luxurious custom or lifestyle just to be similar to someone, especially when these people are not symbols of any talent but showing off",Upamana,Upamana,Moderate,yes
essay266,Claim,There are the build-up of the concept about healthy eating habits and self-control that really matter,Anumana,Anumana,Moderate,yes
essay066,Premise,people tend to follow the trend back to the tradition in the recent years,Anumana,Anumana,Moderate,yes
essay144,Claim,"This will improve the quality of both universities and students, thus placing people in positions which suit them most",Anumana,Anumana,Strong,yes
essay236,Premise,"All of my classmates gave him a rank of AAA, the excellent teacher",Anumana,Anumana,Moderate,yes
essay122,Premise,"After classes students and not only the students will get together in building of high school, participate in different competitions",Anumana,Anumana,Moderate,yes
essay255,Premise,with the stations increased people are willing to take a public transportation than drive on their own,Anumana,Anumana,Moderate,yes
essay108,Premise,"From social perspective, massively forcing the early retirement would be one of financial burden to the local government",Anumana,Anumana,Moderate,yes
essay133,MajorClaim,"in era technology like this age, computer becomes important thing in human life",Upamana,Upamana,Moderate,yes
essay244,Claim,"even when people watch television together, there is no chance for them to have conversation in front of television",Anumana,Anumana,Moderate,yes
essay397,Premise,"With the help of advanced methods, many art masterpiece has been well restorated and well preserved",Anumana,Anumana,Moderate,yes
essay139,Claim,species extinction is quite natural according to the theory of evolution,Shabda,Shabda,Strong,yes
essay396,Claim,indispensable public services like hospital and school worth every penny investing,Upamana,Upamana,Moderate,yes
essay188,Claim,"including exercise in children's daily routine, it is a good way to teach them the importance of physical activity from an early age",Anumana,Anumana,Moderate,yes
essay235,MajorClaim,universities should provide free of cost education to the interested scholars,Anumana,Anumana,Moderate,yes
essay027,MajorClaim,financial aid is not the only way to assist poor countries,Anumana,Anumana,Moderate,yes
essay015,MajorClaim,they may be factors decreasing the position of written language,Anumana,Anumana,Moderate,yes
essay345,Premise,"By working too long, they often become tired, lazy and reluctant to carry out physical exercise in order to remain fit and healthy and eventually loose health and become sick",Anumana,Anumana,Moderate,yes
essay325,MajorClaim,the excellent knowledge will be of more importance,Anumana,Anumana,Weak,yes
essay332,Claim,Another advantage of living with parents for a longer period of time is the enhanced emotional attachment with them,Anumana,Anumana,Moderate,yes
essay129,Claim,the advantages of this are qualitatively greater than that of the opposite,Anumana,Anumana,Moderate,yes
essay257,Claim,luck is one factor in reaching goal,Anumana,Anumana,Weak,yes
essay386,MajorClaim,the classmates should be regarded as the most important influence on individual achievements,Anumana,Anumana,Moderate,yes
essay014,Premise,Discovery Channel has many instructive episodes,Anumana,Anumana,Weak,yes
essay212,Claim,keeping own customs stably might cause discrimination,Anumana,Anumana,Weak,yes
essay065,MajorClaim,government should invest more on medical care and education rather than on entertaining or sports facilities,Anumana,Anumana,Moderate,yes
essay062,Claim,"some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc",Upamana,Upamana,Moderate,yes
essay180,Premise,"When being in the department of art, I have not only learned how to do a project, but also known some famous artists during the term",Anumana,Anumana,Moderate,yes
essay301,MajorClaim,one should not give up,Anumana,Anumana,Weak,yes
essay226,Claim,life changes rapidly,Anumana,Anumana,Weak,yes
essay107,Claim,large emissions of carbon monoxide gas from refrigerants like air conditioners have depleted ozone layer,Upamana,Upamana,Moderate,yes
essay005,MajorClaim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,Anumana,Anumana,Moderate,yes
essay311,MajorClaim,the university should allow the student to participate in the classed without passing the test,Anumana,Anumana,Moderate,yes
essay045,Premise,"there are other pressing demands on the government expenditure, such as health care service and education",Anumana,Anumana,Moderate,yes
