essay_id,component_id,component_type,text
essay012,T3,Claim,email can be count as one of the most beneficial results of modern technology
essay012,T4,Premise,"Many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered"
essay012,T5,Premise,"nowadays, all people can take advantage of internet to have their own email free, and send their emails to everyone in no time, besides they can be sure if their emails have been delivered or not"
essay012,T6,Premise,Another important aspect on technology is transferring money
essay012,T7,Premise,"Today, students can apply for foreign universities much easier than before"
essay012,T1,Claim,"with the advent of internet and online paying systems, you can do many thing at your home easily"
essay012,T2,MajorClaim,technology has helped us to have more comfortable life
essay012,T8,Claim,"You can see its effects on transportation, communication, medicine and so forth"
essay012,T9,Premise,"Not only with the help of sending email, but also using credit cards to pay all necessary fees online"
essay012,T10,Premise,"But now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily"
essay012,T11,Premise,"In the past time doctors used pig heart's valve to implant, but the patient could not be alive more than 3 years after the replacement"
essay012,T12,Premise,one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries
essay012,T13,Premise,Biomedical engineers could make a significant effect on increasing life expectancy the world
essay012,T14,Claim,Another technological innovations which help people around the world is related to medical equipments
essay013,T1,MajorClaim,technology makes children even more creative
essay013,T2,Claim,technology may have some negative effects on children
essay013,T3,Claim,technology may have negative effects on children
essay013,T4,Premise,Technology has made life too easy for most children
essay013,T5,Premise,"In comfortable conditions, children may be satisfied with the world around them and refuse to make a change"
essay013,T6,Premise,technology inspires children to create new things
essay013,T7,Premise,technology widen children's knowledge
essay013,T8,Premise,"when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works"
essay013,T9,Premise,Children are curious about everything around them
essay013,T10,Premise,"Bill Gates was attracted by the original huge computer, then he did everything he could to understand how it worked"
essay013,T11,Premise,"After he had figured out all the stuff, he then began to promote the computer"
essay013,T12,Premise,"In the end, he successfully invented a computer that was easy to use and lightweight"
essay013,T13,Claim,"instead of interfering children's creativity, technology actually encourages children to learn and to create"
essay013,T14,Premise,"In the past, children were only able to see things from one perspective"
essay013,T15,Premise,they will be able to learn about different cultures and different ways of thinking
essay013,T16,Premise,"with highly advanced technology, children are able to get information from foreign countries and even communicate with foreign friends"
essay013,T17,Premise,Knowledge is the base of creativity
essay013,T18,Claim,"The diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things"
essay013,T19,MajorClaim,They kept researching new technology and became successful at a very young age
essay013,T20,Premise,"with the development of technology, increasingly more young people become obsessed with high-tech products"
essay014,T1,Claim,students at schools and universities still learn much more from lessons with teachers
essay014,T2,Premise,"teachers teach students how to write, read and calculate since they are in kindergarten"
essay014,T3,Premise,"And when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers"
essay014,T4,Premise,It is teachers that help them with obstacles in schooling
essay014,T5,Premise,students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers
essay014,T7,MajorClaim,students learn far more from their teachers than from other source
essay014,T8,Claim,teachers teach us knowledge but also the skills to tell right from wrong
essay014,T9,Premise,"They can only input some key words and google it, and then there are numberless articles and websites related to it"
essay014,T10,Premise,students learn things easily
essay014,T11,Premise,they contend that good television programs do teach students
essay014,T12,Premise,Discovery Channel has many instructive episodes
essay014,T13,Premise,"Students have knowledge of others cultures, outer space etc"
essay014,T6,Claim,"students learn far more from other sources, such as the Internet and television"
essay014,T14,Premise,within this sources students learn lots of things which they can't learn in classes
essay015,T1,MajorClaim,they may be factors decreasing the position of written language
essay015,T2,Claim,"it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity"
essay015,T3,MajorClaim,we cannot deny the threat from email and text messaging to the status of written language because their obvious popularity
essay015,T4,Premise,"Before email and mobile phone, human beings communicated by meeting directly, sending letters or later, calling from home phones"
essay015,T5,Premise,"Such ways usually made people have troubles for the expensiveness, difficulties in far communication or emergency and the loss of information"
essay015,T6,Premise,People can send or receive electronic letters anywhere and anytime they want
essay015,T7,Premise,"thanks to the function provided by email and text messaging (SMS), it is cheaper and faster to transfer a lot of information, even to many people at the same time"
essay015,T8,Premise,They are so convenient that the majority of population prefer to use them instead of some traditional ways
essay015,T9,Premise,email and cell phones have improved the obstacles above
essay015,T10,Claim,"The popularity of email and text messaging, as a result, leads to the losing of written language's position"
essay015,T11,Premise,People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities
essay015,T12,Premise,language in writing is not in its original form
essay015,T13,Premise,"people compose a message with only emoticons (the expressions by face created by service providers), which means there is no room for writing or typing texts"
essay015,T14,Premise,"it is more dangerous that youngsters sometimes use such new languages in their studying, writing assignments"
essay015,T15,Premise,"If that tendency continues at a rapid pace, written language may face up to a real problem about its stand"
essay016,T1,Claim,there is some disadvantages of animals' profits
essay016,T2,MajorClaim,the merits of animal experiments still outweigh the demerits
essay016,T3,MajorClaim,it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals
essay016,T5,Claim,doing this various testing is a hazard of human's future and next generation
essay016,T4,Premise,animals are friendly and vital for people
essay016,T6,Premise,"if there are no animals in the world, the balance of nature will broke down, and we, human, will die out as well"
essay016,T7,Premise,The animal experiments accelerate the vanishing of some categories of animals
essay016,T8,Premise,animal experiments have negative impact on the natural balance
essay016,T9,Premise,it is necessary to make sure that people can live a long life
essay016,T10,Claim,"it is indisputable that every new kind food or pill may be noxious, and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying"
essay016,T11,Premise,The new foods or medicines are invented to promote the quantity of human's life
essay016,T12,Premise,even if they are volunteers; they cannot take the place of animals to test the new foods or medicines
essay016,T13,Premise,it also have potentially harm for human's health without any testing
essay017,T1,MajorClaim,television devastate families ties
essay017,T2,Claim,most of people do not have a plan for make a limitation or schedule for watching television
essay017,T3,MajorClaim,it is a global problem to solve this problem and it is need global contribution to find a solution
essay017,T4,Claim,"killing our time, making us lazy, and advertising negative behaviors are just only few reasons to show how television is destructive"
essay017,T5,Claim,"In spite of enjoying watching television shows, it is really time consuming task"
essay017,T6,Premise,Emergence of new television channels or shows are not surprising
essay017,T7,Premise,We kill time by tracking these channels so at the end of the day we understand it is late for doing any other activities
essay017,T8,Premise,This is a problem that suffers all of us everyday
essay017,T9,Premise,there is no time for call to our parents or friends
essay017,T10,Claim,watching television programs makes us lazy
essay017,T11,Premise,We usually spend our times in front of television for at least three ours a day when we come back home after eight-hour working in the office
essay017,T12,Premise,we do not have time to spend for healthy activity such as going to a gym or doing other sports
essay017,T13,Premise,This makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable
essay017,T14,Claim,some television programs have a negative effect on viewers
essay017,T15,Premise,Some thriller or action movies advertise negative activities such as doing criminal activity
essay017,T16,Premise,These genre of programs has more negative effects on our teenagers
essay017,T17,Premise,They usually try to mimic what they see on movies in their daily behaviors
essay018,T1,MajorClaim,universities must open choice for everyone to select his subject
essay018,T2,Claim,we must give them opportunity to achieve their goal
essay018,T3,Premise,Our youth has become very confident towards his career
essay018,T4,Premise,They are not ready to be bound in certain limitations
essay018,T5,Premise,Female candidates also do not care about any restriction posed by the society and the employer
essay018,T6,Claim,Universities should accept equal numbers of students of both genders
essay018,T7,Premise,women have proved themselves in every field whether it is indoor or outdoor
essay018,T8,Premise,nowadays women are working in home as well as in the sky
essay018,T9,Premise,They are acting as a good housewife and they are flying planes also
essay018,T10,Premise,university authority must not be biased on ground of the gender discrimination
essay018,T11,Premise,They must consider the academic record of the student as main criteria of admission
essay018,T12,Claim,universities follow the requirement of job providers and decide subject suitable for particular gender
essay018,T13,Premise,the current job market affects the decision of universities
essay018,T14,Premise,Every university designs its courses according to the need of employers
essay018,T15,Premise,The job selection criteria are pre decided
essay018,T16,Premise,employers need male candidates for the heavy work such as repairing and installation of heavy machine
essay018,T17,Premise,They prefer male staff for night shifts
essay018,T18,Premise,"They want female candidates for soft natured work like counseling, teaching, designing etc"
essay019,T1,MajorClaim,for the young adults it will be better to live with their parents
essay019,T2,Claim,"their lives are going to be more difficult, when they are away from home"
essay019,T3,Premise,They will have to pay a lot of bills
essay019,T4,Premise,"they will have to find a lodging or at least a place where to live and in order to have less expenses they will have to find a co-tenant, who they may not like"
essay019,T5,Claim,They will not need to worry about financial problems or if they will get on well with their roommate
essay019,T6,Claim,Living in their own houses will save the young adults a lot of money
essay019,T7,Premise,"If they live separate from their parents they will have to pay for a loan, electricity, water or even for a meal"
essay019,T8,Premise,If the young adults still study they will have to combine studying with working
essay019,T9,Premise,they will not have money to pay for everything
essay019,T10,Premise,There will not be such worries when young adults live in their own home
essay019,T11,Premise,parents will take care for them
essay019,T12,Premise,parents will give their children money in order they to focus only on studying
essay019,T13,Claim,"Another problem that the young adults may encounter is to find a co-tenant, who they do not like"
essay019,T14,Premise,"His habits may be totally different from theirs, his behavior may be inappropriate, but they will have to live with him or even share a room, in order to have less expenses"
essay019,T15,Premise,Living with such a person may be a huge problem for the young adults
essay019,T16,Premise,"When the co-tenant do not share their interests and points of view, they will not be able to ask him for advice"
essay019,T17,Premise,"they are most likely to quarrel every day, instead of to help each other"
essay020,T1,MajorClaim,more responsibilities should put on private individuals and companies such as paying to clean up air pollution
essay020,T2,MajorClaim,both companies and private individuals should take the main part to clean up the air pollution
essay020,T3,Claim,governments are responsible to provide a healthy environment for their inhabitants and they should be responsible from cleaning up the air pollution
essay020,T4,Claim,"If these companies were obliged to pay to clean up the air pollution, they would at least make an effort to reduce the amount of air pollution they cause"
essay020,T5,Premise,"in most industrialized countries, there is a number of companies that holds heavy factories in their constitutions"
essay020,T6,Premise,The waste products and harmful gases produced by these factories cause a significant amount of air pollution
essay020,T7,Premise,"While these companies make a huge amount of money from their businesses, most of them are not considering to take precautions to reduce the amount of air pollution"
essay020,T8,Claim,"by charging private individuals for causing air pollution, that will at least contribute to reduce the amount of the pollution"
essay020,T9,Premise,private individuals cause air pollution in several ways such as inessential use of cars and house heating
essay020,T10,Premise,"As house heating is a major need in the winter time, some households do not consider to use filters to reduce the amount of pollution that the heating causes"
essay020,T11,Premise,some expensive vehicles cause a huge amount of pollution
essay020,T12,Claim,governments should restrict the use of products that cause air pollution for both individuals and companies
essay020,T13,Claim,"Governments also should use an amount of money from their budgets to clean up the air, instead of putting all the responsibility to companies and private individuals"
essay021,T1,MajorClaim,advertising is the major reason for high sales of a product
essay021,T2,MajorClaim,high sales are obviously a reflection of the powerful advertisements
essay021,T3,Claim,The most effective way to convince consumers to purchase a product is through advertising
essay021,T4,Premise,it is not sufficient in itself
essay021,T5,Premise,The product also should satisfy the needs of the consumers
essay021,T6,Claim,advertisers push the limits of creativity to dispose the consumers to purchase the product
essay021,T7,Claim,Advertisement is the most effective way to create a well-known product
essay021,T8,Claim,They make the product preferable
essay021,T9,Premise,We are mainly introduced to products through advertisements
essay021,T10,Premise,"When the consumers are impressed by the way a product is advertised, they can be convinced to consider that the product is a need in some cases"
essay021,T11,Premise,"Recently, there is a very creative advertisements of a soft drink product on TV"
essay021,T12,Premise,The story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot
essay021,T13,Premise,the number of that product being sold will increases
essay021,T14,Premise,"the more an advertisement of a product takes place in mass media, the more popular the product becomes"
essay021,T15,Premise,Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product
essay021,T16,Premise,"When a product is commonly used, it becomes trustworthy for the society, no matter what quality it is"
essay021,T17,Premise,it also has to be affordable for the consumer
essay021,T18,Premise,advertisements have undeniable affects on the society about the product being advertised
essay022,T1,MajorClaim,the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges
essay022,T2,Claim,higher education does not guarantee young students' success
essay022,T3,Claim,"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming"
essay022,T4,Premise,"there are numerous job opportunities for those who do not have the certification of university graduation, such as mechanics, sales persons, or engineers"
essay022,T5,Premise,labors for graduates are in short supply
essay022,T6,Premise,the labor market for highly educated students is now too competitive to get a job after finishing their studying
essay022,T7,Claim,"universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine"
essay022,T8,Premise,These academic values are necessary to the progress of the world
essay022,T9,Premise,many researches in the ivory-tower have created ingenious discoveries and achievements for the development of modern society
essay022,T10,Premise,diverse experiences in the campus life can make the young generation more competently
essay022,T11,Premise,"there are a number of chances through internships, deeper discussion, independent life, and exchange scholarships"
essay023,T3,MajorClaim,I do not think these disadvantages will outweigh the advantages brought by cell phones
essay023,T1,MajorClaim,The contribution of the mobile phone to our modern society is prominent and people's dependence on it is irreversible
essay023,T2,Claim,it has a number of problems that should be well handled
essay023,T4,Claim,almost everything that changed our lifestyle a lot will also cause some social problems
essay023,T5,Premise,"Speaking loudly on the phone in public areas, such as schools, libraries and hospitals appears to be very impolite and offensive"
essay023,T6,Premise,some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other
essay023,T7,Premise,"it is not impossible to solve these problems, as long as some regulations and rules can be effectively implemented"
essay023,T9,Claim,some harmful effects on our health are lethal
essay023,T10,Premise,"It has been proved that overusing of the electronic devices including mobile phones could lead to higher possibility of suffering hearing loss and even cancers, although the further investigation are needed"
essay023,T11,Claim,There is panic among people that their conversation can be intercepted by the third party
essay023,T12,Premise,This possibility exists all the time
essay023,T13,Premise,a more efficient and reliable system can also be invented to guarantee the private information of users
essay023,T14,Claim,the mobile phone has become a dispensable multifunctional tools in people's daily life
essay023,T15,Premise,"Not only used for communication, but it also functions as an Internet browser, a music player, a personal organizer and so forth"
essay024,T1,MajorClaim,"it still has its bad side, especially for children"
essay024,T2,Claim,it is undeniable that computer is a crucial part of human life
essay024,T3,Claim,using computer constantly has bad influence on children's eyes
essay024,T4,Premise,"When they concentrate on computer for too long, their eyes will get tired, which is the main reason for some eyes problems, typically shortsighted"
essay024,T5,Premise,children who play games too much on computer can seriously lack communicating skills
essay024,T6,Claim,"people who are addicted to games, especially online games, can eventually bear dangerous consequences"
essay024,T7,Premise,"several teenagers play games without rest, which leads to health depression"
essay024,T8,Premise,"a typical example is the death of Korean gamer, who had a non-stop playing for 3 days"
essay024,T9,Claim,even people who are not interested in online game can still be negatively affected by using computer too much
essay024,T10,Premise,"Some social surveys have shown that a few children use computer for studying purpose, most of them are attracted by facebook, blog, etc. instead"
essay024,T11,Premise,they will have a bad result in school
essay024,T12,Premise,"when they can not live without internet, they will have no time for their studying"
essay024,T13,Premise,they will know little about the outside life
essay025,T1,MajorClaim,"the advantages of building a factory will outweigh its disadvantages, if we tackle the environmental problems brought by factories"
essay025,T2,Claim,a large factory can stimulate local economic growth and reduce the unemployment rate
essay025,T3,Premise,"To manufacture goods, there must be the demand of laborers, from which the local residents can benefit"
essay025,T4,Premise,"the factory is not isolated, other industries and business will be quickly established, resulting in economic growth of local area"
essay025,T5,Premise,the estate industry will be boosted in order to satisfy the workers' accommodation need
essay025,T6,Premise,"It is true that some area are suffering the dire consequences caused by overdeveloping the industry, such as water pollution, overcrowded traffic and medical problems"
essay025,T7,Premise,"in some industrial cities, a large proportion of the workers are suffering various breathing problems, such as asthma which can be caused by waste ashes and certain chemical substances"
essay025,T8,Claim,The main disadvantage is contamination
essay025,T9,Claim,how to improve the disadvantages of building a factory would be more important than whether to build it
essay025,T10,Premise,it is inevitable that there will be more factories built with the development of our society
essay025,T11,Premise,most problems can be avoidable if the factories put in real and great effort to manage their waste well
essay026,T3,MajorClaim,"it is obvious that prepared food can bring about some negative influence result from utilizing the artificial ingredients, ignoring the nutrition of food and modifying people's eating habits"
essay026,T4,Claim,it can effectively save time which is considered as money in our modern society
essay026,T5,Claim,easy-to-cook foods sometimes could be dangerous for human's health
