text,y_true,y_pred,correct,ml_label,rule_label,ml_correct,rule_correct,ml_confidence,adjusted_confidence,alpha,routing_reason,n_tokens
A causal DAG in public debate is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,62.197881529163446,48.763628571577854,0.2,Fixed alpha=0.20 (explicit configuration).,16
A causal DAG in social media discourse is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,58.33796726310461,49.29837290946711,0.2,Fixed alpha=0.20 (explicit configuration).,17
A causal DAG in news analysis is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,53.745574078660205,49.43702496597558,0.2,Fixed alpha=0.20 (explicit configuration).,16
A causal DAG in daily life is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,62.71262310862853,49.78270409425989,0.2,Fixed alpha=0.20 (explicit configuration).,16
Court filings in science quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,59.82576764897386,42.15921991520025,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in technology quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,49.00038560744554,42.70128237373717,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in education quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,78.36142208238866,40.518754996168525,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in medicine quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,74.72717055067038,40.161856708532405,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in politics quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,66.76971216239295,41.5400413046631,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in philosophy quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,76.34975939017995,40.72651954222317,0.2,Fixed alpha=0.20 (explicit configuration).,12
Court filings in legal reasoning quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,77.48047441029563,40.27381155137865,0.2,Fixed alpha=0.20 (explicit configuration).,13
Court filings in public debate quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,67.68736553903025,41.9168913973343,0.2,Fixed alpha=0.20 (explicit configuration).,13
Court filings in social media discourse quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,59.843680904529265,42.85226147888484,0.2,Fixed alpha=0.20 (explicit configuration).,14
Court filings in news analysis quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,55.91098019608957,43.474519830017044,0.2,Fixed alpha=0.20 (explicit configuration).,13
Court filings in daily life quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,Anumana,Shabda,False,True,72.8922016701759,41.23855165773726,0.2,Fixed alpha=0.20 (explicit configuration).,13
