perturbation,original,perturbed,y_true,y_pred,correct
typo,"If costs rise while output is fixed in public debate, margins should compress in equilibrium.","If costs rise while output is fixed in public debate, marmins should cogpress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.","If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.","If costs rise while output is fired in news analysis, maxgins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in daily life, margins should compress in equilibrium.","If costs rile while output is fixed in daisy life, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in science, which suggests a race.","The error only appears whcn concurrency is enabled in science, which suggests a raee.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in technology, which suggests a race.","The error only appears wnen concurrehcy is enabled in technology, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in education, which suggests a race.","The error only appears when concurrency is enabled in edusation, which cuggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in medicine, which suggests a race.","The error only appears when concuirency rs enabled in medicine, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in politics, which suggests a race.","The erroe only appears when concurrency is enablrd in politics, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in philosophy, which suggests a race.","The error only appears when concurrency is enabled in philosophy, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.","The error only appears when concurrency is enabeed in legal rlasoning, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in public debate, which suggests a race.","The error inly appears when concurrency os enabled in public debate, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in social media discourse, which suggests a race.","The error only appears when concgrrency is enabled in social media discourse, which suugests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in news analysis, which suggests a race.","The error only appears when conclrrency is enabued in news analysis, which suggests a race.",Anumana,Anumana,True
typo,"The error only appears when concurrency is enabled in daily life, which suggests a race.","The error only appears when concurrency is enabled in daily eife, which sugglsts a race.",Anumana,Anumana,True
typo,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching science with metaphors is like using training wheels: helpfel until intuition stabilizus.,Upamana,Upamana,True
typo,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching technology lith metaphors is wike using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
typo,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching education sith metaphors iw like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
typo,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
typo,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching politics with metaphors is line using training wheels: helpful until intuitiok stabilizes.,Upamana,Upamana,True
typo,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching philosophy with metaphors is like using training wheeis: helpful until intuitlon stabilizes.,Upamana,Upamana,True
grammar,Bench notes (science): the sample fluoresced under UV immediately after staining.,bench notes (science): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (technology): the sample fluoresced under UV immediately after staining.,bench notes (technology): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (education): the sample fluoresced under UV immediately after staining.,Bench notes (education): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (politics): the sample fluoresced under UV immediately after staining.,bench notes (politics): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,bench notes (daily life): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
grammar,"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.","telemetry (science) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (technology) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (education) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (medicine) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (politics) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.","telemetry (philosophy) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (legal reasoning) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (public debate) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (social media discourse) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.","telemetry (news analysis) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (daily life) captured an single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
grammar,"If costs rise while output is fixed in science, margins should compress in equilibrium.","if costs rise while output is fixed in science, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in technology, margins should compress in equilibrium.","if costs rise while output is fixed in technology, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in education, margins should compress in equilibrium.","if costs rise while output is fixed in education, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in medicine, margins should compress in equilibrium.","If costs rise while output is fixed in medicine, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in politics, margins should compress in equilibrium.","If costs rise while output is fixed in politics, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.","if costs rise while output is fixed in philosophy, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.","If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in public debate, margins should compress in equilibrium.","if costs rise while output is fixed in public debate, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.","If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.","If costs rise while output is fixed in news analysis, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"If costs rise while output is fixed in daily life, margins should compress in equilibrium.","if costs rise while output is fixed in daily life, margins should compress in equilibrium.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in science, which suggests a race.","the error only appears when concurrency is enabled in science, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in technology, which suggests a race.","the error only appears when concurrency is enabled in technology, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in education, which suggests a race.","the error only appears when concurrency is enabled in education, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in medicine, which suggests a race.","the error only appears when concurrency is enabled in medicine, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in politics, which suggests a race.","the error only appears when concurrency is enabled in politics, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in philosophy, which suggests a race.","the error only appears when concurrency is enabled in philosophy, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.","the error only appears when concurrency is enabled in legal reasoning, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in public debate, which suggests a race.","the error only appears when concurrency is enabled in public debate, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in social media discourse, which suggests a race.","the error only appears when concurrency is enabled in social media discourse, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in news analysis, which suggests a race.","the error only appears when concurrency is enabled in news analysis, which suggests an race.",Anumana,Anumana,True
grammar,"The error only appears when concurrency is enabled in daily life, which suggests a race.","the error only appears when concurrency is enabled in daily life, which suggests an race.",Anumana,Anumana,True
grammar,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
grammar,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
grammar,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
grammar,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
grammar,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
grammar,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Bench notes (science): the sample fluoresced under UV immediately after staining.,Bench (science): notes the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (technology): the sample fluoresced under UV immediately after staining.,Bench notes (technology): the sample fluoresced under immediately UV after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (education): the sample fluoresced under UV immediately after staining.,Bench (education): notes the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Bench notes (medicine): the sample fluoresced under UV after immediately staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (politics): the sample fluoresced under UV immediately after staining.,Bench notes the (politics): sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Bench notes the (philosophy): sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Bench notes (legal reasoning): the sample fluoresced under UV immediately staining. after,Pratyaksha,Pratyaksha,True
word_order,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Bench notes (public debate): the sample fluoresced UV under immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Bench notes (social media discourse): the sample fluoresced UV under immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Bench notes analysis): (news the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Bench notes (daily life): sample the fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
word_order,"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (science) captured a single large spike, then baseline quiet for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (technology) captured a single large spike, then quiet for baseline ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (education) captured a single large then spike, quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (medicine) captured single a large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (politics) captured a single large spike, then baseline quiet for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (philosophy) captured a single large spike, then quiet baseline for minutes. ten",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (legal reasoning) captured a single large spike, then quiet baseline ten for minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (public debate) a captured single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (social media discourse) captured a single large spike, then quiet for baseline ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (news analysis) captured single a large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (daily life) captured a single spike, large then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
word_order,"If costs rise while output is fixed in science, margins should compress in equilibrium.","If costs rise while output is fixed in science, margins compress should in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in technology, margins should compress in equilibrium.","If costs rise while output is fixed in technology, margins compress should in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in education, margins should compress in equilibrium.","If costs rise while output fixed is in education, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in medicine, margins should compress in equilibrium.","If costs rise while output is fixed medicine, in margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in politics, margins should compress in equilibrium.","If costs rise while output is fixed in margins politics, should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.","If costs rise while output is fixed philosophy, in margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.","If rise costs while output is fixed in legal reasoning, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in public debate, margins should compress in equilibrium.","If costs rise output while is fixed in public debate, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.","If costs rise output while is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.","If rise costs while output is fixed in news analysis, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"If costs rise while output is fixed in daily life, margins should compress in equilibrium.","If costs rise while output fixed is in daily life, margins should compress in equilibrium.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in science, which suggests a race.","error The only appears when concurrency is enabled in science, which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in technology, which suggests a race.","The error only appears when concurrency is enabled in which technology, suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in education, which suggests a race.","The error only appears when concurrency is enabled education, in which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in medicine, which suggests a race.","The error only when appears concurrency is enabled in medicine, which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in politics, which suggests a race.","The error only appears when concurrency is enabled in which politics, suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in philosophy, which suggests a race.","The error only when appears concurrency is enabled in philosophy, which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.","error The only appears when concurrency is enabled in legal reasoning, which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in public debate, which suggests a race.","The only error appears when concurrency is enabled in public debate, which suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in social media discourse, which suggests a race.","The error only appears when concurrency is enabled in social media which discourse, suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in news analysis, which suggests a race.","The error only appears when concurrency is enabled in news which analysis, suggests a race.",Anumana,Anumana,True
word_order,"The error only appears when concurrency is enabled in daily life, which suggests a race.","error The only appears when concurrency is enabled in daily life, which suggests a race.",Anumana,Anumana,True
word_order,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching science with is metaphors like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching with technology metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,education Teaching with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching medicine with metaphors is using like training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching with politics metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
word_order,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching philosophy with metaphors is like using training helpful wheels: until intuition stabilizes.,Upamana,Upamana,True
synonym,Bench notes (science): the sample fluoresced under UV immediately after staining.,Bench notes (science): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (technology): the sample fluoresced under UV immediately after staining.,Bench notes (technology): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (education): the sample fluoresced under UV immediately after staining.,Bench notes (education): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (politics): the sample fluoresced under UV immediately after staining.,Bench notes (politics): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
synonym,"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
synonym,"If costs rise while output is fixed in science, margins should compress in equilibrium.","If costs rise while output is fixed in science, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in technology, margins should compress in equilibrium.","If costs rise while output is fixed in technology, margins should compress in equilibrium.",Anumana,Anumana,True
