text,y_true,y_pred,correct,ml_confidence,adaptive_alpha,routing_mode,routing_reason,ml_label,rule_label,bucket
"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,81.19769175276076,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Pratyaksha,Pratyaksha,rules_dominated
"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,88.06618920389161,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,89.94156430041443,0.4,adaptive,ML received higher weight because high ML confidence (90%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,87.91133966870431,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,76.1952641738703,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Pratyaksha,Pratyaksha,rules_dominated
"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,87.86722159316093,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,86.95243443235393,0.4,adaptive,ML received higher weight because high ML confidence (87%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"If costs rise while output is fixed in science, margins should compress in equilibrium.",Anumana,Anumana,True,88.32507373997935,0.8,adaptive,ML received higher weight because high ML confidence (88%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in technology, margins should compress in equilibrium.",Anumana,Anumana,True,85.70462601026495,0.8,adaptive,ML received higher weight because high ML confidence (86%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in education, margins should compress in equilibrium.",Anumana,Anumana,True,93.70600499670253,0.8,adaptive,ML received higher weight because high ML confidence (94%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in medicine, margins should compress in equilibrium.",Anumana,Anumana,True,90.20714753148526,0.8,adaptive,ML received higher weight because high ML confidence (90%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in politics, margins should compress in equilibrium.",Anumana,Anumana,True,88.5735998529086,0.8,adaptive,ML received higher weight because high ML confidence (89%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.",Anumana,Anumana,True,91.54349463658527,0.8,adaptive,ML received higher weight because high ML confidence (92%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.",Anumana,Anumana,True,90.10634569814124,0.8,adaptive,ML received higher weight because high ML confidence (90%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in public debate, margins should compress in equilibrium.",Anumana,Anumana,True,83.04689145181406,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True,74.77578554072318,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.",Anumana,Anumana,True,76.81380356813189,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Anumana,,ml_dominated
"If costs rise while output is fixed in daily life, margins should compress in equilibrium.",Anumana,Anumana,True,93.15144981775057,0.8,adaptive,ML received higher weight because high ML confidence (93%); no symbolic cues; ML favoured.,Anumana,,ml_dominated
"The error only appears when concurrency is enabled in science, which suggests a race.",Anumana,Anumana,True,78.87627722374087,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in technology, which suggests a race.",Anumana,Anumana,True,76.92461833760585,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in education, which suggests a race.",Anumana,Anumana,True,84.81387501528262,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in medicine, which suggests a race.",Anumana,Anumana,True,76.41322113714068,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in politics, which suggests a race.",Anumana,Anumana,True,83.22687488772172,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in philosophy, which suggests a race.",Anumana,Anumana,True,81.87357597918651,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.",Anumana,Anumana,True,76.8597629548618,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in public debate, which suggests a race.",Anumana,Anumana,True,70.58509051704485,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in social media discourse, which suggests a race.",Anumana,Anumana,True,77.05749979577598,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in news analysis, which suggests a race.",Anumana,Anumana,True,61.14255383282524,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
"The error only appears when concurrency is enabled in daily life, which suggests a race.",Anumana,Anumana,True,76.38280439481714,0.15,adaptive,Balanced routing: symbolic cues detected (2).,Anumana,Anumana,rules_dominated
Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,80.00650354150378,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,91.24466816890362,0.4,adaptive,ML received higher weight because high ML confidence (91%); symbolic cues detected (1).,Upamana,Upamana,balanced
Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,71.06793743720438,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,68.5468288431614,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,67.5379496165127,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,58.54885225369123,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching legal reasoning with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,41.97503349508124,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (42%); symbolic cues detected (1).,Anumana,Upamana,rules_dominated
Teaching public debate with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,59.981550003638496,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching social media discourse with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,63.24795535355878,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching news analysis with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,68.03426842908713,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
Teaching daily life with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,71.88994310036423,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
A causal DAG in science is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,54.478031378194636,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in technology is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,53.13680631350457,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Upamana,Upamana,rules_dominated
A causal DAG in education is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,61.133400523242734,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in medicine is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,60.69717889866813,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in politics is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,73.23069194188463,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in philosophy is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,77.43750661332628,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in legal reasoning is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,76.84842524966868,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in public debate is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,62.197881529163446,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in social media discourse is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,58.33796726310461,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in news analysis is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,53.745574078660205,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
A causal DAG in daily life is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,62.71262310862853,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Upamana,rules_dominated
The regulator for science published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,89.30185307755889,0.4,adaptive,ML received higher weight because high ML confidence (89%); symbolic cues detected (1).,Shabda,Shabda,balanced
The regulator for technology published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,88.4110053952537,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Shabda,Shabda,balanced
The regulator for education published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,77.80614179648944,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Shabda,rules_dominated
The regulator for medicine published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,74.89138974224298,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Shabda,rules_dominated
The regulator for politics published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,88.63314146877043,0.4,adaptive,ML received higher weight because high ML confidence (89%); symbolic cues detected (1).,Shabda,Shabda,balanced
The regulator for philosophy published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,81.83595146433056,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Shabda,rules_dominated
The regulator for legal reasoning published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,84.0122952656295,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Shabda,rules_dominated
The regulator for public debate published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,87.81517191861082,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Shabda,Shabda,balanced
The regulator for social media discourse published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,82.22031412625338,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Shabda,rules_dominated
The regulator for news analysis published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,89.2858567638122,0.4,adaptive,ML received higher weight because high ML confidence (89%); symbolic cues detected (1).,Shabda,Shabda,balanced
The regulator for daily life published a notice clarifying disclosure timelines for incidents.,Shabda,Shabda,True,86.1835075541101,0.4,adaptive,ML received higher weight because high ML confidence (86%); symbolic cues detected (1).,Shabda,Shabda,balanced
Court filings in science quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,59.82576764897386,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in technology quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,49.00038560744554,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (49%); symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in education quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,78.36142208238866,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in medicine quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,74.72717055067038,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in politics quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,66.76971216239295,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in philosophy quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,76.34975939017995,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in legal reasoning quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,77.48047441029563,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in public debate quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,67.68736553903025,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in social media discourse quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,59.843680904529265,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in news analysis quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,55.91098019608957,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Court filings in daily life quote the statute verbatim when arguing mens rea.,Shabda,Shabda,True,72.8922016701759,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Anumana,Shabda,rules_dominated
Test augmentation (legal reasoning): synthetic vignette uid test-pad-0; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,Upamana,True,46.73994037326754,0.45,adaptive,ML received higher weight because low ML confidence (47%); no symbolic cues; ML favoured.,Upamana,,balanced
Test augmentation (science): synthetic vignette uid test-pad-1; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,50.44008144972033,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (education): synthetic vignette uid test-pad-2; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,46.97948031277065,0.45,adaptive,ML received higher weight because low ML confidence (47%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (social media discourse): synthetic vignette uid test-pad-3; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,Upamana,True,63.159536056108,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (daily life): synthetic vignette uid test-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,Upamana,True,56.77253750010909,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (social media discourse): synthetic vignette uid test-pad-5; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,47.701577471762,0.45,adaptive,ML received higher weight because low ML confidence (48%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (science): synthetic vignette uid test-pad-6; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,Upamana,True,65.78735966949394,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (public debate): synthetic vignette uid test-pad-7; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,88.38708441035416,0.8,adaptive,ML received higher weight because high ML confidence (88%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (philosophy): synthetic vignette uid test-pad-8; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,90.28784543142022,0.8,adaptive,ML received higher weight because high ML confidence (90%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (technology): synthetic vignette uid test-pad-9; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,49.6306192768775,0.45,adaptive,ML received higher weight because low ML confidence (50%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (medicine): synthetic vignette uid test-pad-10; intended label Pratyaksha at strong strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,90.6113808175615,0.8,adaptive,ML received higher weight because high ML confidence (91%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (politics): synthetic vignette uid test-pad-11; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,Shabda,True,46.123334190374166,0.45,adaptive,ML received higher weight because low ML confidence (46%); no symbolic cues; ML favoured.,Shabda,,balanced
Test augmentation (daily life): synthetic vignette uid test-pad-12; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,Upamana,True,60.35428538926254,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (politics): synthetic vignette uid test-pad-13; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Shabda,True,51.000246778772016,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Shabda,,ml_dominated
Test augmentation (politics): synthetic vignette uid test-pad-14; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,85.13393016966613,0.8,adaptive,ML received higher weight because high ML confidence (85%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (news analysis): synthetic vignette uid test-pad-15; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,52.933962003092006,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (politics): synthetic vignette uid test-pad-16; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Shabda,True,50.6461403109768,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Shabda,,ml_dominated
Test augmentation (medicine): synthetic vignette uid test-pad-17; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,91.03402599835556,0.8,adaptive,ML received higher weight because high ML confidence (91%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (education): synthetic vignette uid test-pad-18; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,44.37908174227705,0.45,adaptive,ML received higher weight because low ML confidence (44%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (philosophy): synthetic vignette uid test-pad-19; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,50.346552499164154,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (science): synthetic vignette uid test-pad-20; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,88.21780899068744,0.8,adaptive,ML received higher weight because high ML confidence (88%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (daily life): synthetic vignette uid test-pad-21; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,57.84372995457267,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (technology): synthetic vignette uid test-pad-22; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,47.90006574044142,0.45,adaptive,ML received higher weight because low ML confidence (48%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (philosophy): synthetic vignette uid test-pad-23; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,59.713525234991124,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (social media discourse): synthetic vignette uid test-pad-24; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,42.079240827896854,0.45,adaptive,ML received higher weight because low ML confidence (42%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (daily life): synthetic vignette uid test-pad-25; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,56.87822388733478,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (science): synthetic vignette uid test-pad-26; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,54.66922417114638,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (legal reasoning): synthetic vignette uid test-pad-27; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,Upamana,True,49.62798309255211,0.45,adaptive,ML received higher weight because low ML confidence (50%); no symbolic cues; ML favoured.,Upamana,,balanced
Test augmentation (social media discourse): synthetic vignette uid test-pad-28; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Shabda,True,52.19780145643151,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Shabda,,ml_dominated
Test augmentation (science): synthetic vignette uid test-pad-29; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,45.86381762425721,0.45,adaptive,ML received higher weight because low ML confidence (46%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (social media discourse): synthetic vignette uid test-pad-30; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,Upamana,True,63.27211946396134,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (science): synthetic vignette uid test-pad-31; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,54.42206927302726,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (daily life): synthetic vignette uid test-pad-32; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,53.12467158669878,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (philosophy): synthetic vignette uid test-pad-33; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,90.9791600691785,0.8,adaptive,ML received higher weight because high ML confidence (91%); no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (education): synthetic vignette uid test-pad-34; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,41.45050146279844,0.45,adaptive,ML received higher weight because low ML confidence (41%); no symbolic cues; ML favoured.,Pratyaksha,,balanced
Test augmentation (public debate): synthetic vignette uid test-pad-35; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,Upamana,True,56.105486442038654,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Upamana,,ml_dominated
Test augmentation (education): synthetic vignette uid test-pad-36; intended label Pratyaksha at strong strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,True,83.27415476896998,0.55,adaptive,ML received higher weight because no symbolic cues; ML favoured.,Pratyaksha,,ml_dominated
Test augmentation (social media discourse): synthetic vignette uid test-pad-37; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Shabda,True,49.980758398583646,0.45,adaptive,ML received higher weight because low ML confidence (50%); no symbolic cues; ML favoured.,Shabda,,balanced
